iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
0	1558659764302	0	0	0.001	0.0	0	0	0.9891118179247951
100	1558659776712	21	4	0.001066299123551032	0.0010775158658204895	5	16	0.9890329375176703
200	1558659788854	25	5	0.0013040712468193384	0.0014796010879419763	5	19	0.988808170766186
300	1558659801115	26	5	0.0016675148430873622	0.0025793291024478696	6	20	0.9884358213175007
400	1558659813612	24	6	0.0019824710206389597	0.003750679963735267	8	16	0.9881970596550749
500	1558659826299	25	6	0.002200169635284139	0.004684496826835902	8	17	0.9879828951088493
600	1558659838981	29	6	0.0023158043539722927	0.005344968268359021	9	20	0.9878109980209216
700	1558659851792	29	6	0.002377721232683065	0.005808250226654579	9	20	0.9878302233531241
800	1558659864672	30	6	0.0024304495335029687	0.006124660018132366	10	20	0.9877244840260108
900	1558659877573	30	6	0.002465648854961832	0.006307343608340888	10	20	0.9877005937234945
1000	1558659890503	27	6	0.002488408255583828	0.006539891205802357	11	16	0.9877056827820186
1100	1558659903496	28	6	0.0025436810856658185	0.006689483227561197	11	17	0.9876860333616059
1200	1558659916568	27	6	0.0025865139949109413	0.006815503173164098	12	14	0.9875754877014419
1300	1558659929669	32	6	0.0026044670624823297	0.006970534904805078	11	21	0.9875547073791349
1400	1558659942701	29	6	0.0026354255018377157	0.0070004533091568445	12	16	0.987604042974272
1500	1558659955776	28	6	0.0026088493073225896	0.007158658204895738	11	17	0.9875621996041843
1600	1558659968880	32	6	0.002668221656771275	0.007232547597461469	12	20	0.9874984450098954
1700	1558659981942	29	7	0.0026522476675148433	0.007258839528558478	12	17	0.9875722363584959
1800	1558659995172	26	7	0.0026963528413910093	0.007390752493200362	11	15	0.9875238903025163
1900	1558660008325	28	7	0.002707661860333616	0.007448322756119674	11	17	0.9874936386768448
2000	1558660021583	29	6	0.0027111959287531807	0.007530371713508612	12	17	0.9875175289793611
2100	1558660034770	29	6	0.0027424370935821315	0.0075349048050770626	12	17	0.9874780887757987
2200	1558660048031	29	6	0.002757986994628216	0.007543064369900272	12	17	0.9874471303364433
2300	1558660061280	30	6	0.002755583828102912	0.007545784224841342	12	18	0.9874510884930733
2400	1558660074531	32	7	0.0027609556121006504	0.007617407071622846	12	20	0.9874992931863161
2500	1558660087782	30	6	0.002744981622844218	0.007611514052583862	13	17	0.9875785976816511
2600	1558660101014	30	6	0.0027531806615776083	0.007622393472348142	13	17	0.9874919423240034
2700	1558660114299	30	6	0.002757280180944303	0.007663644605621033	12	17	0.9875646027707097
2800	1558660127625	34	6	0.00278173593440769	0.0075938349954669075	13	21	0.9873997738196212
2900	1558660140869	27	6	0.0027605315238903023	0.0076337262012692655	12	15	0.9874041560644614
3000	1558660154213	27	7	0.002783573649985864	0.007615140525838622	12	15	0.9874899632456884
3100	1558660167457	30	6	0.0027955894826123835	0.007654578422484134	13	16	0.9874636697766469
3200	1558660180697	28	6	0.0027789086796720383	0.007724841341795104	13	15	0.9874745547073791
3300	1558660194048	29	7	0.002801102629346904	0.0077148685403445145	13	16	0.9874214023183489
3400	1558660207372	30	7	0.002780463669776647	0.007672710788757932	13	17	0.9874598529827537
3500	1558660220600	29	6	0.002793327678823862	0.007705802357207615	13	16	0.9875074922250495
3600	1558660233865	30	6	0.0028047780605032512	0.007675430643699002	13	17	0.9874312977099237
3700	1558660247108	29	7	0.002808594854396381	0.007682683590208523	12	17	0.9874338422391857
3800	1558660260365	30	6	0.0028204693242861183	0.007799184043517678	13	17	0.9873823862029969
3900	1558660273672	35	7	0.0028282442748091604	0.007748866727107888	14	21	0.9873990670059373
4000	1558660286912	30	6	0.002843652813118462	0.007741613780598368	13	17	0.9873843652813118
4100	1558660300283	29	7	0.002843652813118462	0.007755213055303718	14	15	0.9874445858071812
4200	1558660313615	30	6	0.0028600508905852417	0.007747506799637353	12	18	0.9874423240033927
4300	1558660326904	31	6	0.002874611252473848	0.007695829555757027	13	18	0.9873672603901612
4400	1558660340230	29	7	0.0028552445575346337	0.007716228467815049	13	16	0.9873811139383658
4500	1558660353489	29	6	0.00286923946847611	0.00772529465095195	13	16	0.9873706530958439
4600	1558660366832	29	6	0.0028678258411082838	0.007793291024478694	13	16	0.9873953915747808
4700	1558660380167	31	7	0.0028641504099519367	0.007793291024478694	14	17	0.9873702290076336
4800	1558660393519	31	6	0.002884082555838281	0.007840435176790572	13	17	0.9873696635566864
4900	1558660406914	35	14	0.0028883234379417587	0.007853581142339075	15	20	0.9873367260390161
5000	1558660420290	34	6	0.0028941193101498443	0.007813689936536717	13	20	0.9873542550183771
5100	1558660433591	32	15	0.0029004806333050607	0.007880779691749775	14	18	0.9873555272830082
5200	1558660446976	32	6	0.002898925643200452	0.007836355394378967	14	18	0.9873452078032231
5300	1558660460304	34	6	0.0029260672886627084	0.007855394378966455	14	20	0.9873331919705965
5400	1558660473684	30	6	0.0029264913768730564	0.007903445149592021	14	15	0.9873303647158609
5500	1558660487111	32	6	0.0029284704551880126	0.00790616500453309	14	18	0.98722759400622
5600	1558660500454	35	6	0.0029283290924512297	0.007899365367180416	15	20	0.9873258411082838
5700	1558660513843	35	6	0.002922109132032796	0.007908431550317317	14	21	0.9873532654792196
5800	1558660527209	33	7	0.002923805484874187	0.00791251133272892	12	21	0.9874038733389878
5900	1558660540638	31	7	0.0029342663273960986	0.007925203989120581	14	17	0.987265903307888
6000	1558660554076	36	6	0.002934690415606446	0.007894832275611968	21	15	0.9873314956177551
6100	1558660567494	31	6	0.00293271133729149	0.008	14	17	0.9873450664404863
6200	1558660580872	31	6	0.002948968052021487	0.00801087941976428	16	15	0.9872862595419847
6300	1558660594314	36	14	0.002939214023183489	0.008070716228467814	14	22	0.9873122702855527
6400	1558660607683	31	6	0.0029263500141362736	0.007990480507706255	15	16	0.9873307888040712
6500	1558660621057	35	6	0.002931580435397229	0.00797914777878513	15	20	0.9873678258411083
6600	1558660634477	31	6	0.002933700876448968	0.007940163191296463	14	17	0.9873789934973141
6700	1558660647923	33	6	0.0029409103760248798	0.007958748866727107	15	17	0.9873515691263783
6800	1558660661459	35	6	0.0029348317783432286	0.008	14	20	0.987331636980492
6900	1558660674823	31	7	0.002948968052021487	0.008027651858567544	14	17	0.9873117048346056
7000	1558660688253	32	6	0.0029522193949674865	0.007966455122393473	15	17	0.9873707944585807
7100	1558660701698	35	6	0.0029437376307605316	0.007979601087941978	14	21	0.9873143907266044
7200	1558660715136	31	6	0.0029614079728583547	0.007994106980961016	13	18	0.9874218264065592
7300	1558660728652	32	7	0.0029737065309584395	0.00795330915684497	14	18	0.9872855527283009
7400	1558660742087	34	7	0.002984026010743568	0.008046237533998187	14	20	0.9873013853548205
7500	1558660755541	34	7	0.002983319197059655	0.008056663644605621	13	21	0.9872732541702007
7600	1558660769022	32	7	0.0030001413627367825	0.00813417951042611	14	18	0.987334888323438
7700	1558660782440	35	6	0.0029933559513712184	0.008081595648232093	14	21	0.9872007350862313
7800	1558660795847	29	6	0.002991094147582697	0.008130099728014505	13	16	0.9873091603053435
7900	1558660809250	31	6	0.0029903873338987842	0.0080766092475068	13	18	0.9872579869946282
8000	1558660822786	34	6	0.0030042408821034775	0.008038984587488668	15	19	0.9872575629064179
8100	1558660836253	39	6	0.002997031382527566	0.008113327289211242	23	16	0.9873220243143908
8200	1558660849772	35	7	0.0030186598812553013	0.008143699002719855	15	20	0.9872363584959005
8300	1558660863223	35	6	0.0030156912637828667	0.008101087941976427	14	21	0.9872964376590331
8400	1558660876705	29	6	0.00299123551031948	0.00805485040797824	14	15	0.9873037885213458
8500	1558660890139	31	14	0.0030158326265196495	0.00808023572076156	13	18	0.9873278201865988
8600	1558660903662	34	7	0.003008623126943738	0.008106527651858568	16	18	0.987259400621996
8700	1558660917101	32	7	0.0030089058524173026	0.008147325475974614	14	18	0.9873057675996607
8800	1558660930594	31	6	0.002999717274526435	0.008074342701722576	14	17	0.9873001130901894
8900	1558660944066	32	6	0.003011309018942607	0.008120126926563916	15	17	0.9872683064744133
9000	1558660957539	32	6	0.003023748939779474	0.00815865820489574	15	17	0.9872691546508341
9100	1558660971007	35	6	0.003018942606728866	0.008108794197642794	15	20	0.9872246253887476
9200	1558660984506	41	6	0.0029971727452643483	0.00813327289211242	22	19	0.987282866836302
9300	1558660998045	35	7	0.0030072094995759117	0.008131006346328197	14	21	0.9872567147299972
9400	1558661011534	32	6	0.003023890302516257	0.008053943789664552	14	18	0.9872923381396664
9500	1558661025097	31	6	0.003022052586938083	0.008121486854034451	15	16	0.9873319197059655
9600	1558661038579	32	6	0.0030083404014701726	0.008135086128739802	15	17	0.987215860899067
9700	1558661052032	32	6	0.0030093299406276507	0.008129193109700816	15	17	0.9872490811422109
9800	1558661065544	32	7	0.0030381679389312978	0.00813599274705349	15	17	0.9872493638676845
9900	1558661078995	32	6	0.0030202148713599094	0.008192656391659111	15	17	0.9871752897936104
10000	1558661092474	30	6	0.003036330223353124	0.008173617407071622	14	16	0.9872965790217698
10100	1558661106042	35	6	0.003066157760814249	0.008225747960108795	14	21	0.9872160022618038
10200	1558661119555	32	6	0.003037037037037037	0.008290571169537625	14	18	0.9871745829799264
10300	1558661132998	29	6	0.003034351145038168	0.008226201269265638	14	15	0.9872502120441051
10400	1558661146559	33	6	0.003023748939779474	0.008274705349048051	15	18	0.9872917726887193
10500	1558661160142	36	15	0.0030482046932428612	0.008197642792384406	15	21	0.98719508057676
10600	1558661173692	30	7	0.003048628781453209	0.008256572982774251	15	15	0.9873176420695504
10700	1558661187174	32	7	0.0030562623692394686	0.008267452402538532	15	17	0.9872062482329658
10800	1558661200705	35	7	0.0030773254170200735	0.008283318223028104	15	20	0.9872119027424371
10900	1558661214323	31	6	0.003049901046084252	0.008267905711695377	13	18	0.9872013005371784
11000	1558661227804	30	7	0.003064178682499293	0.008254759746146872	15	15	0.9872502120441051
11100	1558661241385	34	6	0.0030609273395532936	0.008269718948322756	15	19	0.9872930449533504
11200	1558661254955	31	7	0.0030609273395532936	0.00837035358114234	15	16	0.9871939496748657
11300	1558661268545	33	7	0.0030723777212326832	0.00835403445149592	15	18	0.9872087927622278
11400	1558661282080	33	6	0.0030945716709075487	0.008388485947416138	16	17	0.9871366977664687
11500	1558661295639	39	7	0.003086655357647724	0.008385312783318223	23	16	0.9872468193384224
11600	1558661309217	33	7	0.0030582414475544247	0.008325929283771533	16	17	0.9872079445858072
11700	1558661322713	29	6	0.0030742154368108565	0.008383499546690843	14	15	0.9871915465083404
11800	1558661336371	37	6	0.0030735086231269437	0.008317769718948324	15	22	0.9871981905569692
11900	1558661349912	36	6	0.003063330506078598	0.00829374433363554	15	21	0.9872718405428329
12000	1558661363429	33	6	0.0030807181227028553	0.008259292837715322	16	17	0.9871806615776081
12100	1558661376949	44	7	0.0030687022900763358	0.008319582955575703	24	20	0.9872104891150693
12200	1558661390540	36	6	0.003084676279332768	0.008281504986400725	14	22	0.9871709075487701
12300	1558661404040	34	6	0.003071388182075205	0.008325022665457841	15	19	0.9872656205824145
12400	1558661417608	33	6	0.0030851003675431156	0.00841613780598368	16	17	0.9871782584110829
12500	1558661431188	33	6	0.0031013570822731127	0.008418404351767906	15	18	0.9872373480350579
12600	1558661444823	34	6	0.0031119592875318066	0.008380326382592928	15	19	0.9872027141645462
12700	1558661458347	36	7	0.003082697201017812	0.008333635539437896	15	21	0.9872209499575911
12800	1558661471950	35	6	0.0030995193666949394	0.008343155031731641	15	20	0.9872496465931581
12900	1558661485566	36	7	0.003078880407124682	0.008395285584768812	15	21	0.9871741588917161
13000	1558661499124	33	6	0.00309626802374894	0.008318676337262012	16	17	0.9871068702290077
13100	1558661512702	33	7	0.00309683347469607	0.008286038077969175	15	18	0.9872650551314673
13200	1558661526290	31	7	0.003095137121854679	0.008272438803263825	15	16	0.9871902742437093
13300	1558661539870	31	6	0.003082273112807464	0.008367633726201269	15	16	0.9871892847045519
13400	1558661553428	34	6	0.0030942889454339834	0.008362647325475975	15	19	0.9871847610969748
13500	1558661567126	32	7	0.0030916030534351145	0.008387579329102448	15	17	0.9872240599378004
13600	1558661580765	42	6	0.00308806898501555	0.008324116047144153	25	17	0.9872206672321177
13700	1558661594287	34	6	0.0031106870229007633	0.008351767905711694	16	18	0.9871443313542551
13800	1558661607938	35	6	0.0031005089058524175	0.008393925657298277	15	20	0.9871810856658185
13900	1558661621537	32	6	0.0031160588068985017	0.008340435176790572	15	17	0.9871984732824427
14000	1558661635114	36	6	0.0030834040147017247	0.008379419764279238	15	20	0.9871994628216002
14100	1558661648690	31	6	0.0030955612100650267	0.008381686310063462	15	16	0.9871786824992932
14200	1558661662200	29	6	0.0030875035340684194	0.008393925657298277	13	16	0.9871714729997173
14300	1558661675723	33	6	0.003095843935538592	0.008409338168631006	16	17	0.9872141645462256
14400	1558661689308	34	6	0.0031109697483743285	0.008396645512239348	16	18	0.9871656771275091
14500	1558661702865	31	7	0.0031068702290076335	0.008412964641885767	13	18	0.9871359909527848
14600	1558661716435	37	7	0.0031338705117331072	0.008402991840435177	17	20	0.9871612948826689
14700	1558661729991	40	6	0.003112524738478937	0.008346328195829556	23	17	0.987214588634436
14800	1558661743570	36	7	0.003111393836584676	0.008393925657298277	15	21	0.9871860333616059
14900	1558661757149	36	6	0.0031249646593158042	0.008413871260199456	16	20	0.9871622844218264
15000	1558661770752	30	7	0.0031098388464800676	0.008423844061650044	14	16	0.987210630477806
15100	1558661784320	33	6	0.003123126943737631	0.00842611060743427	15	18	0.987169069833192
15200	1558661797911	36	6	0.0031129488266892847	0.008436990027198549	15	21	0.9871837715578173
15300	1558661811542	36	7	0.003118886061634153	0.008366273798730735	16	20	0.9871939496748657
15400	1558661825128	34	6	0.003104608425219112	0.008380779691749773	16	18	0.987204127791914
15500	1558661838782	33	8	0.0031146451795306756	0.008387579329102448	15	17	0.9871320327961549
15600	1558661852360	32	6	0.0031106870229007633	0.008373526745240254	15	17	0.987180096126661
15700	1558661865952	36	6	0.003124681933842239	0.008344514959202177	15	21	0.9871146451795306
15800	1558661879543	31	6	0.0031126661012157194	0.008415684496826836	15	15	0.9871060220525869
15900	1558661893128	31	6	0.0031156347186881536	0.008344061650045332	15	16	0.9871925360474979
16000	1558661906734	34	6	0.0031402318348883232	0.008327742520398912	16	18	0.9871542267458298
16100	1558661920268	29	7	0.0031368391292055414	0.008321849501359928	13	16	0.9871809443030817
16200	1558661933875	37	6	0.003109556121006503	0.008338621940163191	16	21	0.9871839129205542
16300	1558661947510	33	6	0.0031235510319479786	0.008354487760652765	15	18	0.9872256149279051
16400	1558661961153	33	7	0.003108566581849025	0.008324569356300998	16	17	0.9872110545660164
16500	1558661974724	36	6	0.0030966921119592876	0.008376246600181325	15	21	0.9871745829799264
16600	1558661988316	36	6	0.00312199604184337	0.008399818676337262	15	20	0.9872107718405428
16700	1558662001927	32	6	0.0031242578456318914	0.008320942883046238	16	16	0.9871412213740458
16800	1558662015537	34	6	0.0031320327961549335	0.008333182230281051	16	18	0.9872001696352841
16900	1558662029141	32	6	0.0031072943172179815	0.008360834088848594	16	16	0.9872169918009612
17000	1558662042844	32	7	0.003096126661012157	0.008348141432456936	14	18	0.9872384789369523
17100	1558662056464	34	6	0.0031112524738478938	0.008411604714415231	16	18	0.9871680802940345
17200	1558662069989	32	7	0.003101922533220243	0.008319582955575703	15	17	0.9871485722363585
17300	1558662083583	36	6	0.0031523890302516257	0.008371260199456028	15	21	0.9871554990104608
17400	1558662097239	34	6	0.00311817924795024	0.008372620126926564	16	18	0.987169069833192
17500	1558662110839	31	6	0.0031448968052021488	0.008372620126926564	16	15	0.9871515408538309
17600	1558662124491	33	7	0.0031310432569974555	0.008355394378966454	16	17	0.9871372632174159
17700	1558662138033	29	6	0.003110545660163981	0.008404351767905712	14	15	0.987169069833192
17800	1558662151600	33	6	0.0031371218546791067	0.00835040797824116	16	17	0.9871567712750919
17900	1558662165170	34	7	0.003145886344359627	0.008385312783318223	17	17	0.9871822165677128
18000	1558662178754	29	9	0.0031368391292055414	0.008349954669084315	14	15	0.9871823579304495
18100	1558662192317	31	6	0.0031106870229007633	0.008331368993653672	15	16	0.9872072377721233
18200	1558662205910	34	8	0.0031061634153237206	0.008308250226654578	16	18	0.9872657619451513
18300	1558662219461	36	6	0.003119310149844501	0.008338621940163191	15	21	0.9872065309584394
18400	1558662233120	36	7	0.003114221091320328	0.008340888485947415	15	21	0.9871967769296014
18500	1558662246773	32	7	0.003150834040147017	0.008379419764279238	15	17	0.9871243992083687
18600	1558662260311	37	6	0.0031460277070964092	0.008383499546690843	15	22	0.9871145038167939
18700	1558662273904	34	7	0.0031344359626802377	0.008402991840435177	17	17	0.9871071529544811
18800	1558662287599	34	6	0.0031262369239468475	0.008427470534904806	16	18	0.9871788238620299
18900	1558662301291	32	6	0.003150834040147017	0.00842248413417951	16	16	0.9871584676279332
19000	1558662314927	38	6	0.003133305060785977	0.008471894832275612	16	22	0.987203562340967
19100	1558662328584	37	6	0.0031242578456318914	0.008482320942883046	16	21	0.9871225614927905
19200	1558662342224	32	6	0.003137404580152672	0.008486854034451496	16	16	0.9871057393271133
19300	1558662355842	33	6	0.0031166242578456317	0.008429283771532185	15	17	0.9871909810573932
19400	1558662369404	33	6	0.0031289228159457165	0.008447416137805985	16	17	0.9871676562058241
19500	1558662383091	38	6	0.0031262369239468475	0.008470081595648231	16	21	0.9872551597398925
19600	1558662396741	32	6	0.0031283573649985865	0.008459655485040797	16	16	0.9871669493921402
19700	1558662410344	34	6	0.0031470172462538873	0.008408884859474162	16	18	0.9870925925925926
19800	1558662424006	35	8	0.0031610121571953634	0.00843064369900272	15	20	0.9872107718405428
19900	1558662437561	33	6	0.0031482895108849306	0.00837488667271079	16	17	0.9871492790500425
20000	1558662451211	36	7	0.003116341532372067	0.008417497733454215	16	20	0.9871669493921402
20100	1558662464895	36	6	0.0031292055414192817	0.0084143245693563	15	21	0.9871945151258128
20200	1558662478534	34	6	0.0031467345207803225	0.00834587488667271	16	18	0.9871673734803506
20300	1558662492124	33	6	0.0031477240599378006	0.008383046237533998	15	18	0.9871932428611818
20400	1558662505724	34	15	0.0031586089906700593	0.008360380779691751	16	18	0.9870834040147017
20500	1558662519341	31	15	0.0031289228159457165	0.008412964641885767	13	18	0.9871964942041278
20600	1558662532979	33	15	0.0031477240599378006	0.008432456935630099	15	18	0.9871887192536047
20700	1558662546595	47	6	0.0031296296296296298	0.008459202175883954	26	21	0.9871208651399491
20800	1558662560239	34	6	0.003144048628781453	0.008415684496826836	16	18	0.9871673734803506
20900	1558662573835	33	6	0.0031375459428894543	0.008413871260199456	16	17	0.9871306191687871
21000	1558662587403	35	6	0.00313839411931015	0.008399818676337262	17	18	0.9871006502685892
21100	1558662601075	33	7	0.0031540853830930166	0.008433816863100635	16	17	0.9871905569691829
21200	1558662614634	31	7	0.0031542267458297994	0.008484134179510426	15	16	0.9872184054283291
21300	1558662628308	36	7	0.0031511167656205824	0.00841613780598368	15	21	0.9871634153237206
21400	1558662641968	31	7	0.003130619168787108	0.008422937443336356	15	16	0.9872281594571671
21500	1558662655614	37	8	0.0031289228159457165	0.008375339981867633	16	21	0.9871878710771841
21600	1558662669309	32	7	0.0031338705117331072	0.0083961922030825	14	18	0.9872271699180096
21700	1558662682890	31	7	0.0031407972858354537	0.008457842248413418	15	16	0.9871426350014136
21800	1558662696521	35	6	0.003136980491942324	0.008408431550317317	14	21	0.9872124681933843
21900	1558662710174	34	6	0.003157478088775799	0.00831006346328196	15	19	0.9871219960418434
22000	1558662723816	33	7	0.0031482895108849306	0.008438349954669083	16	17	0.987178117048346
22100	1558662737451	36	7	0.003144048628781453	0.008445149592021759	15	21	0.9871635566864575
22200	1558662751067	38	6	0.0031603053435114506	0.008434723481414325	17	21	0.9871622844218264
22300	1558662764712	32	16	0.003161153519932146	0.00843517679057117	15	17	0.9871721798134012
22400	1558662778390	35	7	0.003169918009612666	0.008422937443336356	16	19	0.987147582697201
22500	1558662792045	33	6	0.0031552162849872775	0.008415231187669991	17	16	0.9871444727169918
22600	1558662805609	36	6	0.003152954481198756	0.008415684496826836	15	21	0.9871808029403449
22700	1558662819190	32	7	0.003164828951088493	0.00840979147778785	14	17	0.9871350014136274
22800	1558662832834	33	7	0.003146169069833192	0.008500453309156844	15	18	0.9871967769296014
22900	1558662846464	35	6	0.0031497031382527567	0.008459655485040797	16	19	0.9871704834605598
23000	1558662860122	33	7	0.003160446706248233	0.008557116953762465	16	17	0.9871232683064745
23100	1558662873743	34	6	0.0031569126378286684	0.008465548504079783	16	18	0.987119592875318
23200	1558662887330	33	6	0.0031532372066723213	0.00848458748866727	15	18	0.9871554990104608
23300	1558662900946	37	15	0.003176420695504665	0.008475974614687217	15	21	0.9870746395250212
23400	1558662914516	34	6	0.0031521063047780604	0.008463735267452402	16	18	0.9871533785694091
23500	1558662928110	37	6	0.003166525303929884	0.008480054397098822	16	21	0.9871297709923664
23600	1558662941707	34	6	0.003178117048346056	0.008419764279238441	17	16	0.9870873621713316
23700	1558662955395	35	7	0.003158750353406842	0.008428830462375341	15	20	0.987145038167939
23800	1558662969021	30	6	0.003147865422674583	0.008470534904805076	14	16	0.9871178965224767
23900	1558662982657	38	6	0.0031586089906700593	0.008461468721668178	17	21	0.9871472999717275
24000	1558662996290	36	6	0.003169211195928753	0.008407524932003627	15	21	0.9871159174441617
24100	1558663010028	30	6	0.003180802940344925	0.008457842248413418	14	16	0.9871513994910941
24200	1558663023668	33	14	0.0031714729997172745	0.008446056210335449	16	17	0.9871198756007916
24300	1558663037300	38	7	0.0031837715578173593	0.008475974614687217	17	21	0.9871624257845631
24400	1558663050930	36	7	0.0031588917161436245	0.008504079782411605	17	19	0.9871129488266893
24500	1558663064569	33	6	0.003165253039298841	0.00842611060743427	15	18	0.9871355668645745
24600	1558663078264	34	6	0.0031668080294034494	0.008461922030825023	17	17	0.987137828668363
24700	1558663091919	33	7	0.003183488832343794	0.008418404351767906	15	18	0.9870999434549053
24800	1558663105601	37	7	0.0031983319197059655	0.008435630099728015	16	21	0.9871092733955329
24900	1558663119255	31	14	0.003178823862029969	0.008470081595648231	15	16	0.9871310432569974
25000	1558663132959	33	6	0.0031675148430873623	0.008460108794197643	16	17	0.9870918857789087
25100	1558663146636	33	7	0.003175007068136839	0.008447416137805985	15	18	0.9871112524738479
