iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
0	1601296221015	0	0	0.001	0.0	0	0	0.9890783149561776
100	1601296232613	24	20	0.0011068702290076336	0.0011613780598368087	6	18	0.9889522193949675
200	1601296242853	20	6	0.0013313542550183772	0.0017175883952855848	6	13	0.9887130336443314
300	1601296253432	20	8	0.0016354255018377155	0.002770625566636446	7	12	0.9884387899349731
400	1601296264321	23	15	0.0019427480916030535	0.003981414324569356	9	13	0.988171048911507
500	1601296275040	19	9	0.0021088493073225896	0.004810063463281959	8	11	0.9880667232117614
600	1601296285899	30	8	0.002232824427480916	0.0054252039891205805	17	13	0.9879158891716143
700	1601296296891	28	23	0.002321882951653944	0.005890299184043517	11	13	0.9878461973423805
800	1601296308150	24	18	0.002365281311846197	0.006180870353581142	11	13	0.9878190556969183
900	1601296319540	30	8	0.0024345490528696638	0.006359020852221215	11	18	0.9877643483177835
1000	1601296330920	27	12	0.0024570257280180944	0.006573436083408884	12	14	0.987717133163698
1100	1601296342159	26	10	0.002509471303364433	0.006714868540344515	12	14	0.9877254735651683
1200	1601296353628	25	6	0.002502827254735652	0.006832275611967361	10	14	0.9876837715578174
1300	1601296365053	28	10	0.0025470737913486003	0.006839075249320036	11	17	0.9877206672321176
1400	1601296376239	26	16	0.0025513146734520782	0.006970534904805078	12	14	0.9875651682216567
1500	1601296387458	23	23	0.002580859485439638	0.007047144152311877	12	10	0.9875394402035623
1600	1601296398735	32	13	0.002601922533220243	0.007175883952855848	18	14	0.9876567712750919
1700	1601296409880	27	11	0.0026154933559513712	0.007240707162284679	13	13	0.9875831212892282
1800	1601296421055	32	11	0.0026453208934124964	0.0072665457842248414	11	20	0.98753251342946
1900	1601296432623	29	7	0.002650268589199887	0.007320036264732548	12	17	0.9876284987277354
2000	1601296444096	36	9	0.0026368391292055414	0.007303263825929284	21	15	0.9875255866553576
2100	1601296455242	32	8	0.002648996324568844	0.007302357207615595	14	17	0.9875517387616625
2200	1601296466580	28	12	0.0026785411365564038	0.007300543970988214	12	16	0.9875701159174441
2300	1601296477975	29	19	0.002697907831495618	0.007395738893925658	12	16	0.9875267175572519
2400	1601296489607	25	12	0.0026969182923381398	0.007386219401631913	12	13	0.9875254452926209
2500	1601296500990	25	8	0.002711337291489963	0.007432910244786944	12	13	0.9874626802374894
2600	1601296512205	26	13	0.002718970879276223	0.00741341795104261	11	14	0.9874710206389595
2700	1601296523512	23	14	0.0027196776929601357	0.007375339981867634	12	11	0.9874643765903308
2800	1601296534995	29	14	0.002741023466214306	0.00748821396192203	11	18	0.9874901046084252
2900	1601296546578	25	15	0.0027417302798982187	0.007576155938349955	11	13	0.9875320893412497
3000	1601296557856	37	15	0.0027602487984167375	0.007512239347234813	11	26	0.9875103194797852
3100	1601296569454	27	16	0.0027414475544246535	0.007553943789664552	14	12	0.987503251342946
3200	1601296580839	34	12	0.00274399208368674	0.007597461468721669	11	22	0.9874290359061352
3300	1601296592415	26	22	0.0027465366129488266	0.007540344514959202	11	14	0.987448685326548
3400	1601296603293	29	7	0.002782584110828386	0.007529918404351768	12	16	0.9873787107718406
3500	1601296614843	32	11	0.0027900763358778627	0.007597461468721669	12	20	0.9874783715012723
3600	1601296626453	29	23	0.0027876731693525585	0.0076137805983680865	15	13	0.987416737348035
3700	1601296638137	25	15	0.0027806050325134292	0.007608340888485947	12	13	0.9874923664122137
3800	1601296649368	22	17	0.0028022335312411647	0.007656844968268358	11	11	0.987468758835171
3900	1601296660819	29	15	0.0028013853548204694	0.007646418857660924	13	15	0.9874502403166525
4000	1601296672181	28	24	0.0028088775798699463	0.00763871260199456	13	15	0.9874318631608708
4100	1601296683857	26	15	0.0028213175007068135	0.007733000906618315	12	14	0.9874361040429743
4200	1601296695417	33	13	0.002815380265761945	0.007723028105167724	12	21	0.9874358213175007
4300	1601296707043	26	15	0.002817783432287249	0.007702175883952856	12	14	0.9874205541419282
4400	1601296718274	35	15	0.002842945999434549	0.007749320036264732	14	20	0.9874165959852983
4500	1601296729669	34	15	0.0028013853548204694	0.007777425203989121	18	15	0.987456460277071
4600	1601296741286	30	22	0.0028399773819621148	0.007753853127833182	13	17	0.9873867684478371
4700	1601296753068	31	13	0.002840966921119593	0.007715775158658205	12	18	0.9873936952219395
4800	1601296764600	25	13	0.0028347469607011592	0.007712148685403446	11	13	0.9873483177834322
4900	1601296776113	32	17	0.002839270568278202	0.00772529465095195	12	19	0.9873204693242861
5000	1601296787616	26	10	0.0028657054000565453	0.007754759746146872	14	11	0.9873375742154368
5100	1601296798925	25	14	0.002856234096692112	0.007761559383499547	12	13	0.987445433983602
5200	1601296810111	35	14	0.0028678258411082838	0.007833182230281052	20	15	0.9874218264065592
5300	1601296821471	34	15	0.002863302233531241	0.007837262012692657	20	13	0.9873336160588069
5400	1601296833054	26	26	0.0028784280463669777	0.00792067089755213	13	13	0.9873945433983602
5500	1601296844772	33	9	0.00286598812553011	0.007844514959202176	14	18	0.9874116482895109
5600	1601296856547	36	15	0.0028713599095278484	0.007873073436083408	22	14	0.9873840825558383
5700	1601296868172	26	15	0.002881679389312977	0.007912058023572076	12	13	0.9873514277636415
5800	1601296879885	34	21	0.0028938365846762795	0.007907524932003626	15	18	0.987371925360475
5900	1601296891236	29	19	0.0028958156629912356	0.007958748866727107	15	14	0.9873757421543681
6000	1601296902722	35	13	0.0028996324568843655	0.00793699002719855	21	14	0.9873904438789936
6100	1601296914623	33	9	0.0029120723777212327	0.007931097008159565	15	18	0.987362171331637
6200	1601296926263	38	16	0.0028941193101498443	0.007921577515865821	23	15	0.9873158043539723
6300	1601296937567	27	15	0.002901046084252191	0.007959202175883954	13	13	0.9874045801526717
6400	1601296949038	31	13	0.0029187164263500143	0.007946056210335449	19	11	0.9873873338987843
6500	1601296960346	28	17	0.002925925925925926	0.007955122393472349	14	14	0.9873261238337574
6600	1601296972102	30	13	0.0028996324568843655	0.007956482320942882	13	16	0.9873221656771275
6700	1601296983498	29	23	0.002919140514560362	0.007968268359020852	13	16	0.9873404014701724
6800	1601296995265	25	13	0.002941899915182358	0.007976881233000907	12	13	0.9872810291207238
6900	1601297006851	23	22	0.002931014984450099	0.008012692656391658	11	11	0.9873344642352276
7000	1601297018276	30	16	0.0029386485722363584	0.00795330915684497	12	18	0.9873822448402602
7100	1601297030094	33	14	0.002952784845914617	0.007972801450589302	13	19	0.9873635849590048
7200	1601297041575	24	12	0.0029509471303364432	0.007993653671804171	13	11	0.9873249929318632
7300	1601297052798	29	24	0.002935114503816794	0.008043970988213963	13	15	0.9873864857223635
7400	1601297064464	33	10	0.002955753463387051	0.007995920217588395	12	20	0.9873261238337574
7500	1601297076131	31	18	0.0029597116200169634	0.007974161378059837	13	18	0.9872930449533504
7600	1601297087719	32	9	0.002951795306757139	0.007949229374433365	13	19	0.9873142493638677
7700	1601297099414	32	16	0.002947978512864009	0.00793608340888486	21	11	0.9873338987842805
7800	1601297110935	30	17	0.0029533502968617474	0.008054397098821397	12	17	0.9873204693242861
7900	1601297122359	26	13	0.0029573084534916597	0.00808839528558477	14	11	0.9872845631891434
8000	1601297134048	26	24	0.00296607294317218	0.008049410698096102	12	13	0.9873026576194515
8100	1601297145882	30	8	0.0029345490528696633	0.008018585675430644	12	18	0.9873225897653378
8200	1601297157250	29	12	0.0029529262086513994	0.008051677243880326	12	16	0.9872882386202997
8300	1601297168758	26	16	0.0029512298558100085	0.008080689029918405	12	13	0.9872986994628216
8400	1601297180044	29	12	0.002968758835171049	0.008089301903898458	12	16	0.9872851286400904
8500	1601297191629	27	14	0.0029611252473847895	0.008110154125113327	13	13	0.9873521345773254
8600	1601297203657	26	21	0.0029773819621147866	0.008089301903898458	14	12	0.9872835736499859
8700	1601297215168	31	13	0.002976816511167656	0.008029011786038077	13	18	0.9873059089623976
8800	1601297226665	25	11	0.0029797851286400903	0.008108340888485948	12	13	0.9873360192253322
8900	1601297238186	40	15	0.0030014136273678257	0.008151405258386219	21	19	0.9873052021487136
9000	1601297249673	30	17	0.002981340118744699	0.008111967361740706	12	17	0.9872972858354537
9100	1601297261404	28	15	0.002999010460842522	0.008142339075249319	14	14	0.987331636980492
9200	1601297272988	26	14	0.002984308736217133	0.008125113327289211	14	11	0.9872651964942041
9300	1601297284639	38	9	0.002969041560644614	0.008133726201269266	21	17	0.987248374328527
9400	1601297296163	29	25	0.0029821882951653945	0.008102901178603808	12	16	0.9873074639525021
9500	1601297307438	30	10	0.0029967486570540007	0.008117860380779692	12	18	0.9872790500424088
9600	1601297319093	29	13	0.00299618320610687	0.008101541251133272	13	16	0.9872495052304212
9700	1601297330761	48	14	0.002992931863160871	0.008112420670897553	26	21	0.9872847045518801
9800	1601297342136	26	20	0.002986429177268872	0.008134632819582956	12	14	0.9873006785411366
9900	1601297353649	26	15	0.002978512864009047	0.008142339075249319	13	13	0.9872253322024315
10000	1601297365381	31	8	0.002984026010743568	0.008110154125113327	14	16	0.9872718405428329
10100	1601297377389	28	14	0.002977806050325134	0.008131006346328197	14	13	0.9873258411082838
10200	1601297388905	29	13	0.002982612383375742	0.008124660018132366	14	14	0.9873156629912355
10300	1601297400547	38	14	0.0029898218829516538	0.008104714415231189	21	17	0.9873392705682782
10400	1601297412256	28	24	0.003005371783997738	0.00808476881233001	13	15	0.9872661860333616
10500	1601297423752	29	12	0.003001837715578174	0.008094741613780598	13	15	0.9873432287249081
10600	1601297435515	26	14	0.0029916595985298275	0.008130099728014505	13	12	0.987253604749788
10700	1601297447178	27	13	0.002978936952219395	0.008123753399818676	14	12	0.9872707096409387
10800	1601297458707	26	15	0.0029967486570540007	0.008125566636446056	14	11	0.987297144472717
10900	1601297470804	39	13	0.0029878428046366977	0.00815684496826836	19	19	0.9872342380548488
11000	1601297482631	30	23	0.003002827254735652	0.008151858567543064	14	15	0.9872685891998869
11100	1601297494357	29	24	0.003016256714729997	0.008125566636446056	15	13	0.9872465366129488
11200	1601297506005	32	13	0.002999010460842522	0.008100634632819584	13	19	0.9873616058806899
11300	1601297517660	30	8	0.00300381679389313	0.008227561196736174	13	16	0.9872307039864292
11400	1601297529293	29	9	0.0030274243709358215	0.008198096101541251	15	13	0.9872374893977948
11500	1601297540448	28	8	0.0030182357930449532	0.008190389845874887	15	12	0.9872540288379983
11600	1601297552147	27	11	0.003009612666101216	0.008201722574796011	13	13	0.9873300819903873
11700	1601297563936	35	15	0.003031947978512864	0.008228921124206708	14	20	0.9872649137687306
11800	1601297575727	30	17	0.0030251625671473	0.008154578422484135	13	16	0.9871709075487701
11900	1601297587325	32	12	0.003010178117048346	0.008168631006346329	13	19	0.9873183488832343
12000	1601297599172	36	13	0.0030251625671473	0.008190389845874887	20	16	0.9872602487984168
12100	1601297610912	34	25	0.003014984450098954	0.008203989120580235	13	20	0.9872974271981906
12200	1601297622116	27	24	0.0030359061351427764	0.008190843155031732	14	13	0.9872217981340119
12300	1601297633690	27	14	0.0030487701441899917	0.008157298277425205	13	14	0.9872201017811705
12400	1601297645616	33	13	0.003018377155781736	0.008187669990933817	14	18	0.9872550183771558
12500	1601297657211	24	19	0.003034351145038168	0.008151858567543064	11	13	0.9872311280746395
