Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
0,93088.0000,7.4010,6.2000,-335.6711,NaN,NaN,863.7327,0.0002,0.3692,0.0000,0.0227
1,56208.0000,10.5825,4.1500,-157.7558,NaN,NaN,582.1270,0.5259,0.0417,0.0000,0.0000
2,19076.0000,8.9395,6.2000,-296.2339,NaN,NaN,171.3127,0.3523,0.1139,0.0352,0.0506
3,13961.0000,8.9848,7.4500,0.0000,NaN,NaN,145.1504,NaN,0.1193,0.0000,0.0000
4,12618.0000,9.2907,6.6000,0.0000,NaN,NaN,79.1912,NaN,0.0233,0.0000,0.0000
5,10806.0000,8.3964,6.2500,-46.0676,NaN,NaN,140.3380,0.5800,0.0496,0.0000,0.0083
6,9503.0000,9.0749,5.3500,0.0000,NaN,NaN,111.7165,0.6259,0.0000,0.0000,0.0000
7,9337.0000,7.0370,6.5500,-158.6788,NaN,NaN,96.8022,0.5169,0.1013,0.0000,0.0132
8,6587.0000,8.4545,7.6500,-104.8401,NaN,NaN,64.4060,0.5665,0.0588,0.0000,0.0000
9,5778.0000,8.1181,7.1000,-115.2666,NaN,NaN,70.2786,0.5754,0.0732,0.0000,0.0488
10,5231.0000,-0.6163,6.1500,-149.8890,NaN,NaN,67.3817,0.4882,0.0701,0.0000,0.0014
11,4600.0000,-36.4381,6.1000,-496.4186,NaN,NaN,148.5288,0.3642,0.1981,0.0005,0.0203
12,4061.0000,-8.2329,6.0500,-155.2666,NaN,NaN,54.7169,0.5259,0.1754,0.0000,0.0155
13,4031.0000,2.1367,5.8500,-116.0137,NaN,NaN,66.0331,0.5200,0.1507,0.0000,0.0147
14,3560.0000,7.4360,5.9000,0.0000,NaN,NaN,48.9389,NaN,0.0847,0.0000,0.0000
15,3529.0000,5.0160,6.8500,-266.2168,NaN,NaN,19.1166,0.5268,0.0318,0.0000,0.0064
16,3172.0000,7.4037,6.5500,0.0000,NaN,NaN,20.1742,NaN,0.0185,0.0000,0.0000
17,3126.0000,-5.1520,6.7000,-480.5574,NaN,NaN,40.8934,0.3006,0.4063,0.0366,0.2723
18,2680.0000,6.0724,6.8500,-207.9548,NaN,NaN,39.1740,0.4573,0.1014,0.0000,0.0000
19,2655.0000,7.3139,6.1500,0.0000,NaN,NaN,60.4055,NaN,0.0513,0.0000,0.0000
20,2643.0000,5.7506,6.1500,0.0000,NaN,NaN,63.0621,NaN,0.0972,0.0000,0.0000
21,2475.0000,-7.0573,5.9000,-39.1222,NaN,NaN,54.0698,0.6284,0.1207,0.0000,0.0034
22,2454.0000,5.4668,6.1000,-178.8840,NaN,NaN,59.9478,0.5175,0.0652,0.0000,0.0072
23,2443.0000,-5.6226,6.9500,0.0000,NaN,NaN,31.7566,NaN,0.1373,0.0000,0.0153
24,2178.0000,6.3930,8.1500,-85.1826,NaN,NaN,47.7818,0.5703,0.0816,0.0000,0.0000
25,2056.0000,4.7420,7.0500,0.0000,NaN,NaN,63.8965,NaN,0.1039,0.0000,0.0000
26,1941.0000,7.0063,6.0000,0.0000,NaN,NaN,59.4024,NaN,0.0833,0.0000,0.0000
27,1915.0000,3.8838,7.5000,-349.5983,NaN,NaN,40.9750,0.0110,0.0444,0.0000,0.0111
28,1890.0000,3.5873,6.9500,-171.7497,NaN,NaN,20.6985,0.4497,0.0160,0.0000,0.0000
29,1886.0000,1.7248,6.5000,-320.7742,NaN,NaN,28.4155,0.3925,0.0201,0.0000,0.0000
30,1879.0000,1.0023,8.1500,-209.8925,NaN,NaN,52.0183,0.4301,0.0258,0.0000,0.0000
31,1873.0000,5.7580,7.0500,-318.0045,NaN,NaN,44.1513,0.4475,0.0923,0.0000,0.0000
32,1857.0000,7.2853,7.4500,0.0000,NaN,NaN,30.6821,NaN,0.0000,0.0000,0.0000
33,1801.0000,6.4186,6.1500,0.0000,NaN,NaN,89.7932,NaN,0.1500,0.0000,0.0000
34,1734.0000,7.0705,6.3000,0.0000,NaN,NaN,26.7600,NaN,0.0000,0.0000,0.0000
35,1689.0000,3.7135,6.8500,-153.8962,NaN,NaN,65.3919,0.5432,0.0446,0.0000,0.0000
36,1682.0000,-19.9135,5.5500,-379.5914,NaN,NaN,32.5015,0.3925,0.0988,0.0070,0.0313
37,1641.0000,3.7170,6.2000,-113.6596,NaN,NaN,55.5841,0.5166,0.0062,0.0000,0.0000
38,1630.0000,6.8530,6.3500,-42.4264,NaN,NaN,31.5846,0.6234,0.0000,0.0000,0.0000
