Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
0,90497.0000,7.3169,5.6500,-417.6626,NaN,NaN,645.7862,0.0051,0.2849,0.0000,0.0000
1,18626.0000,6.1632,4.2500,-467.5073,NaN,NaN,345.6194,0.0042,0.1512,0.0000,0.0000
2,10832.0000,5.4355,7.1000,-384.3382,NaN,NaN,182.1205,0.0055,0.2434,0.0000,0.0000
3,9923.0000,4.6420,5.5000,-181.5336,NaN,NaN,134.3264,0.0147,0.6454,0.0000,0.0000
4,9430.0000,5.2563,6.1500,-341.5901,NaN,NaN,55.5431,0.0278,0.1725,0.0000,0.0000
5,9160.0000,5.5707,5.5000,-403.2616,NaN,NaN,129.2155,0.0176,0.2285,0.0000,0.0000
6,7639.0000,5.1472,6.6000,-325.3470,NaN,NaN,102.2212,0.0121,0.2016,0.0000,0.0000
7,7431.0000,5.2882,6.8500,-401.5785,NaN,NaN,127.9779,0.0034,0.1527,0.0000,0.0000
8,6088.0000,4.8399,7.0500,-300.9527,NaN,NaN,79.4306,0.0082,0.1758,0.0000,0.0000
9,6053.0000,4.9202,7.4500,-357.3281,NaN,NaN,95.5676,0.0182,0.1081,0.0000,0.0000
10,4779.0000,4.8095,7.6500,-535.6060,NaN,NaN,66.3706,0.0226,0.0520,0.0000,0.0000
11,4637.0000,4.9019,5.8000,-508.1369,NaN,NaN,63.8328,0.0110,0.0778,0.0000,0.0000
12,3185.0000,4.2474,5.3000,-307.9113,NaN,NaN,48.9702,0.0168,0.0893,0.0000,0.0000
13,3014.0000,4.1162,6.2000,-262.8595,NaN,NaN,110.4784,0.0181,0.2041,0.0000,0.0000
14,2955.0000,4.4583,6.9500,-495.8748,NaN,NaN,16.4250,0.0279,0.0333,0.0000,0.0000
15,2901.0000,4.2131,7.2500,-393.8398,NaN,NaN,49.9884,0.0091,0.0808,0.0000,0.0000
16,2730.0000,4.5225,5.9500,-642.0146,NaN,NaN,147.8809,0.0118,0.1797,0.0000,0.0000
