time,made,years,week,officials,people,year,president,including,long,make,national,called,told,today,state,wednesday,month,asked,don
years,people,home,family,life,wife,good,year,ve,friends,don,day,man,time,children,didn,spent,thought,back,world
police,killed,shot,injured,authorities,man,wounded,people,city,night,died,saturday,shooting,killing,death,reported,occurred,officials,condition,fired
dollar,yen,stock,index,market,trading,exchange,stocks,late,dow,shares,london,fell,volume,rose,points,ounce,nyse,bid,unchanged
trial,charges,guilty,attorney,convicted,court,judge,case,sentenced,prison,jury,murder,sentence,pleaded,charged,alleged,testified,prosecutors,conspiracy,accused
percent,year,rose,rate,increase,inflation,growth,month,decline,economy,annual,months,rise,analysts,report,figures,goods,department,average,commerce
party,opposition,government,elections,political,parties,minister,communist,democracy,leader,power,communists,country,parliament,pro,movement,prime,leaders,socialist,constitution
court,judge,ruling,appeals,filed,lawsuit,case,suit,supreme,lawyers,order,ruled,sued,appeal,federal,justices,legal,lawyer,attorney,decision
bill,senate,house,legislation,sen,rep,measure,congress,committee,vote,lawmakers,majority,veto,republican,approved,provisions,debate,law,leahy,republicans
dukakis,campaign,bush,democratic,presidential,convention,republican,george,michael,vice,gop,massachusetts,nominee,governor,running,democrats,candidate,nomination,mate,gov
talks,baker,summit,meeting,minister,shevardnadze,visit,foreign,conference,united,secretary,delegation,dialogue,states,ministers,reporters,meet,negotiations,eduard,bush
company,stock,offer,takeover,share,merger,corp,buyout,acquire,acquisition,companies,cash,ual,billion,deal,tender,investment,shareholders,shares,stake
company,quarter,million,earnings,sales,executive,share,billion,chairman,corp,products,year,profit,division,vice,operations,loss,industry,revenue,ge
election,vote,voters,campaign,candidates,republican,votes,voting,candidate,elected,ballot,state,democratic,governor,primary,term,seat,democrat,turnout,win
iraq,iraqi,kuwait,saddam,gulf,saudi,arabia,persian,hussein,crisis,invasion,baghdad,war,embargo,sanctions,invaded,aggression,aug,bush,arab
demonstrators,protesters,protest,riot,police,tear,streets,demonstrations,demonstration,rocks,protests,curfew,people,marched,capital,crowd,anti,security,violence,square
trade,japan,japanese,states,united,imports,exports,billion,deficit,world,countries,american,foreign,kaifu,markets,economic,america,imbalance,tariffs,imported
bush,fitzwater,president,white,house,reagan,marlin,administration,americans,america,address,prosperity,presidential,economic,oval,secretary,meeting,purpose,washington,press
storm,mph,miles,flooding,winds,river,homes,area,damaged,weather,county,evacuated,water,rain,hurricane,flood,southern,roads,tropical,emergency
million,money,debt,billion,bonds,pay,assets,banks,cash,fund,credit,bank,year,financial,treasury,accounts,expenses,paid,interest,funds
army,military,soldiers,troops,force,air,pentagon,forces,commander,maj,combat,marine,base,col,command,desert,lt,gen,deployment,servicemen
cents,cent,futures,lower,bushel,higher,delivery,gallon,unleaded,soybean,pound,mercantile,pork,heating,cattle,corn,soybeans,prices,analyst,contracts
budget,deficit,billion,tax,cuts,spending,taxes,congress,fiscal,gramm,bush,package,reduction,rudman,programs,cut,increases,congressional,sasser,revenues
rates,interest,fed,reserve,rate,bond,treasury,inflation,point,yields,securities,market,banks,dollar,points,greenspan,discount,credit,federal,bank
soviet,gorbachev,moscow,mikhail,union,soviets,tass,perestroika,kgb,russian,relations,kremlin,news,leader,summit,openness,visit,reforms,boris,foreign
snow,inches,fair,northern,rain,temperatures,thunderstorms,mississippi,showers,plains,cloudy,texas,degrees,coast,scattered,southern,dakota,central,valley,oklahoma
israel,israeli,palestinian,shamir,palestinians,gaza,arab,plo,occupied,territories,arafat,strip,arabs,israelis,jerusalem,egypt,peace,middle,likud,palestine
workers,union,strike,contract,unions,labor,wage,nurses,pay,wages,employees,layoffs,negotiations,hospitals,bargaining,walkout,federation,raises,talks,contracts
james,baltimore,history,died,american,award,washington,john,joined,actress,medal,president,actor,york,honored,author,national,highlight,st,baseball
plane,pilot,flight,airport,air,jet,aircraft,passengers,planes,crashed,jetliner,aboard,crash,landed,flying,crew,engine,boeing,force,team
hospital,medical,doctors,surgery,patients,doctor,health,dr,disease,brain,heart,treatment,physicians,suffered,mental,patient,duarte,care,illness,fetal
drought,farmers,bushels,grain,tons,wheat,crop,agriculture,harvest,corn,million,production,forecast,feed,soybean,soybeans,agricultural,crops,usda,rice
percent,population,taxes,study,census,report,income,poor,age,institute,people,averaging,urban,incomes,bureau,areas,families,health,adults,million
embassy,cuba,official,states,united,cuban,castro,havana,diplomats,ambassador,government,diplomatic,deportation,ministry,condition,asylum,foreign,speaking,diplomat,washington
german,germany,west,east,berlin,kohl,germans,unification,chancellor,adn,helmut,genscher,maiziere,bonn,viett,nato,hans,allies,unity,border
nicaragua,contra,sandinista,contras,rebels,chamorro,sandinistas,nicaraguan,ortega,managua,honduras,rebel,salvador,leftist,cease,honduran,truce,government,pedro,aid
mandela,apartheid,anc,africa,african,south,black,klerk,blacks,johannesburg,inkatha,botha,whites,natal,de,buthelezi,townships,nelson,racial,township
school,students,student,teachers,schools,teacher,education,university,classes,board,faculty,college,campus,kindergarten,classroom,teaching,high,class,parents,superintendent
shuttle,space,nasa,launch,telescope,mission,discovery,booster,hubble,satellite,aeronautics,challenger,pad,landing,orbit,earth,countdown,astronauts,rocket,test
airline,airlines,pilots,eastern,faa,air,orion,flights,continental,machinists,routes,carrier,carriers,inspection,aviation,transportation,passenger,passengers,inspectors,airports
defense,pentagon,nunn,bomber,cheney,armed,wars,billion,budget,mx,aspin,military,committee,services,strategic,missile,spending,sen,grumman,star
drug,cocaine,medellin,colombia,extradition,matta,trafficking,enforcement,drugs,smuggling,arrested,colombian,undercover,honduran,traffickers,ring,marijuana,possession,agents,cartel
treaty,missiles,soviet,nuclear,reagan,arms,afghanistan,missile,inf,afghan,strategic,ss,range,ballistic,weapons,soviets,gorbachev,kabul,superpowers,moscow
ship,navy,ships,vessel,sailors,coast,uss,guard,tanker,vessels,crew,shipping,aboard,sea,frigate,fishermen,cargo,deck,port,crewmen
africa,south,african,namibia,angola,mozambique,guerrillas,nujoma,swapo,oau,independence,botswana,guerrilla,marxist,angolan,zimbabwe,sudan,cape,verde,fighting
republics,lithuania,gorbachev,soviet,baltic,ryzhkov,sajudis,republic,independence,latvia,estonia,lithuanian,supreme,estonian,mikhail,moscow,decree,legislature,kremlin,union
walsh,north,gesell,poindexter,documents,contra,iran,testimony,classified,reagan,cia,contras,trial,arms,relevant,oliver,fernandez,case,pages,indictment
san,angeles,los,california,francisco,diego,la,santa,austin,phoenix,pittsburgh,miami,dallas,cities,jose,downtown,city,montreal,valley,today
research,scientists,researchers,study,university,tests,scientific,laboratory,lab,scientist,found,testing,institute,test,work,experiments,department,dr,agency,humans
france,french,paris,uta,britain,british,sweden,italy,australia,london,mitterrand,netherlands,europe,le,germany,de,west,libya,japan,central
oil,opec,crude,barrel,gasoline,barrels,prices,petroleum,lukman,exporting,gas,energy,refined,production,countries,ministers,supplies,vienna,price,gallon
catholic,church,pope,vatican,bishops,roman,archbishop,priest,pontiff,paul,priests,religious,cardinal,churches,john,moral,catholics,christ,god,holy
cbs,abc,nbc,ratings,network,rating,coverage,olympics,news,homes,rated,sports,season,tv,cosby,broadcast,baseball,million,nielsen,nights
building,site,project,construction,build,built,structures,buildings,concrete,city,land,million,space,acre,development,office,center,square,cities,design
mecham,keating,deconcini,senators,lincoln,regulators,impeachment,milstead,riegle,patriarca,mccain,cranston,gray,regulator,senate,loan,behalf,governor,bennett,glenn
mrs,husband,wife,daughter,family,son,ms,woman,mother,couple,life,smith,lives,sons,widow,undisclosed,afraid,cancer,bennett,farm
savings,thrift,bank,loan,silverado,insurance,thrifts,fdic,republicbank,insolvent,regulators,bailout,ls,board,institutions,federal,banking,institution,billion,insured
black,white,klan,racial,city,whites,community,blacks,minorities,rights,luther,hispanic,king,violence,mayor,ethnic,civil,norfolk,council,racism
bombing,terrorist,bomb,terrorists,terrorism,attack,explosives,responsibility,bombs,attacks,car,security,explosive,guerrillas,greece,yards,claimed,red,guerrilla,blast
music,band,album,songs,singer,singing,strait,rock,award,fame,show,career,group,record,roll,vocal,solo,musician,performed,featured
children,child,mother,parents,boys,baby,ms,agers,welfare,girl,youngsters,teen,boy,birth,mothers,born,son,ages,relatives,couple
korea,korean,roh,south,north,olympic,seoul,games,kim,koreas,peninsula,tae,athletes,woo,sports,communist,soccer,stadium,unification,olympics
aids,virus,infected,disease,immune,blood,cdc,deficiency,hiv,spread,syndrome,infections,intravenous,hudson,health,tested,prevention,homosexual,diseases,acquired
poll,percent,margin,error,survey,bush,points,voters,respondents,polls,percentage,conducted,blacks,found,lead,handling,minus,surveyed,support,vote
meese,attorney,thornburgh,edwin,general,mckay,guida,justice,iii,wallach,counsel,office,barr,investigation,independent,department,friend,reagan,counselor,administration
musical,film,actor,comedy,ticketron,actress,telecharge,teletron,movie,moonstruck,academy,brooks,love,nominated,stars,star,drama,play,broadway,oscar
editor,paper,newspaper,magazine,news,publication,ap,editorial,newspapers,daily,advertising,managing,circulation,journal,guild,publisher,article,reporting,york,press
kashmir,sinhalese,india,hindu,tamil,pakistan,jammu,militants,srinagar,moslem,moslems,sri,lanka,accord,extremists,curfew,indian,secession,island,majority
noriega,panama,panamanian,manuel,delvalle,canal,antonio,invasion,harassment,ouster,gen,sanctions,government,eric,powell,detained,defense,imminent,forces,channels
aoun,hezbollah,beirut,syrian,amal,militia,lebanese,lebanon,geagea,christian,militiamen,enclave,shiite,hrawi,syria,slums,fighting,moslem,source,factions
economy,economic,popov,reform,bread,yeltsin,prices,reforms,plan,goods,rationing,program,market,food,socialist,crumbling,sector,radical,measures,system
prison,prisoners,inmates,detainees,cubans,mariel,corrections,inmate,correctional,released,cuban,prisons,release,immigration,jail,exile,imprisoned,riots,jails,sentences
thatcher,ira,ireland,british,irish,britain,mrs,margaret,northern,commons,heseltine,belfast,unite,protestant,checkpoint,province,army,london,republic,labor
irs,returns,manville,payments,asbestos,trust,tax,claims,weinstein,corporations,filing,settlements,taxes,matching,revenue,file,extension,taxpayers,individuals,document
politburo,party,stalin,yeltsin,gorbachev,ligachev,lenin,reformers,congress,communist,delegates,conference,committee,ethnic,leadership,members,russian,central,body,radical
firm,sipc,brokerage,corroon,firms,customer,trades,securities,investment,broker,black,hutton,wall,shearson,accounts,lehman,customers,conn,business,street
chrysler,gm,ford,motors,motor,uaw,auto,corp,automaker,vehicle,plant,sales,cars,plants,vehicles,automakers,trucks,assembly,domestic,truck
jobs,job,graduates,training,offers,workers,work,labor,employed,industries,technical,skills,employment,survey,surveys,salary,requirements,employers,documents,applicants
hostages,lebanon,kidnapped,hyundai,kidnappers,hostage,hijackers,beirut,release,freed,anderson,gunmen,held,kidnapping,terry,iranian,correspondent,ransom,mohammed,captive
fire,firefighters,blaze,fires,brush,flames,acres,burned,forest,faithful,winds,park,yellowstone,destroyed,acre,injuries,burning,dry,hay,burn
venus,magellan,mars,spacecraft,galileo,planet,surface,jupiter,earth,moon,nasa,pictures,scientists,radar,manned,clouds,solar,saunders,orbit,map
nuclear,plant,radiation,energy,plants,reactor,hanford,tiger,weapons,radioactive,department,contractor,ridge,oak,contractors,site,exposed,safety,environmental,team
computer,digital,computers,software,unix,ibm,data,system,virus,systems,prime,technology,digit,unisys,numbers,sun,digits,program,henson,equipment
human,rights,abuses,amnesty,castaneda,threats,watch,torture,thousands,humanity,international,killings,group,civilian,groups,lawyers,report,government,victims,violations
aquino,philippines,manila,marcos,philippine,corazon,enrile,ferdinand,coup,filipino,military,dependents,swiss,mrs,insurgency,uprising,government,clark,rebels,col
yeutter,farm,subsidies,ec,gatt,trade,agriculture,clayton,agricultural,beef,round,uruguay,barriers,export,agreement,representative,talks,marketing,brussels,negotiators
gephardt,primary,dole,gore,simon,caucuses,robertson,carolina,super,wisconsin,hampshire,iowa,ads,south,pont,du,primaries,dakota,evangelist,illinois
subcommittee,rep,barnard,frank,dingell,congressman,house,howard,committee,panel,staffers,commerce,aide,lawmakers,investigations,aides,chairman,congressional,jeans,staff
jackson,delegates,gore,platform,jesse,convention,sharon,supporters,brokered,delegate,albert,positions,minority,shouting,enthusiastic,policies,stands,issues,camp,middle
jewish,nazi,jews,semitism,holocaust,waldheim,hitler,nazis,anti,adolf,crimes,historians,ii,poland,israel,religious,atrocities,war,rabbi,league
stores,nordstrom,store,sales,retailer,video,retail,retailers,shopping,merchandise,shoppers,customers,chain,consumers,christmas,toys,swift,bought,goods,price
abortion,souter,abortions,hampshire,fetus,rights,women,anti,choice,privacy,gregg,humphrey,wade,birth,nomination,supreme,rape,judiciary,sununu,idaho
creditors,bankruptcy,federated,ames,coleco,allied,chapter,filing,continental,protection,campeau,company,liquidation,trustee,financing,court,cincinnati,patch,million,plan
china,chinese,beijing,taiwan,tibet,democracy,status,crackdown,june,favored,official,pro,daily,movement,martial,student,square,foreign,rights,kong
orders,boeing,lockheed,mcdonnell,aircraft,mchaffie,jal,aerospace,bolts,billion,douglas,contracts,contractor,airlines,planes,million,fiscal,worth,order,jets
united,nations,states,assembly,resolution,arbitration,resolutions,plo,mission,observer,torture,envoy,investigate,treaty,terrorist,international,undertaken,dispute,binding,voting
aid,assistance,nicaragua,package,recipients,foreign,administration,million,emerging,panama,dole,democracies,egypt,bush,congress,eastern,resettlement,boucher,democracy,earmarked
smoking,cigarettes,tobacco,sand,milk,smokers,hormone,ban,bst,nicotine,cigarette,cows,premier,asbestos,fda,product,surgeon,products,health,smoke
czechoslovakia,prague,czechoslovak,ctk,liberty,jamming,broadcasts,bulgaria,forman,havel,hungary,radio,europe,communist,poland,eastern,romania,revolution,soviet,free
housing,mortgage,mortgages,realtors,rates,median,units,builders,home,buyers,starts,homes,construction,income,affordable,priced,fixed,projects,bankers,interest
nato,eec,european,ec,europe,warsaw,alliance,bloc,pact,luxembourg,brussels,membership,sweden,unified,kiss,union,single,community,currency,belgium
turkish,iran,kurdish,cuellar,perez,cease,iraq,iraqi,iranian,al,javier,waterway,geneva,turkey,guerrillas,cyprus,attacks,de,casualties,arab
smog,pollution,emissions,acid,controls,air,clean,nitrogen,compromise,ozone,plants,quality,monoxide,requirements,industry,toxic,utilities,dioxide,pollutants,rain
quake,earthquake,richter,scale,damage,magnitude,aftershocks,geological,fault,earthquakes,felt,recorded,motion,centered,shook,measured,ground,registered,survey,struck
pacs,pac,contributions,andreas,committees,donations,fec,campaigns,raising,incumbents,cycle,raised,money,donors,races,members,congressional,defense,election,appropriations
plant,exxon,arco,florio,chemical,tank,explosion,valdez,gas,pipeline,oil,alaska,davis,worker,disaster,factory,supervisor,company,cook,water
drug,tests,testing,alcohol,secret,clerks,employees,service,drugs,investigation,marijuana,mandatory,searches,workers,officers,test,guards,customs,indictments,cases
futures,cftc,brady,sec,markey,commodities,stock,trading,margins,regulatory,exchanges,gnp,index,chicago,jurisdiction,painter,rostenkowski,markets,treasury,market
heat,temperature,hot,degrees,summer,record,temperatures,weather,cooler,cool,utility,water,highs,beaches,arizona,power,records,wave,peak,tuesday
film,movie,universal,theaters,entertainment,movies,films,characters,mca,peanuts,christians,hollywood,charlie,studio,pictures,leukemia,company,advertising,cook,de
ceausescu,perry,penalty,executed,execution,securitate,death,medication,dictator,punishment,sentence,romania,cousin,amato,romanian,salvation,convicted,prisoner,supreme,cruel
