M,K,V,alpha,beta,gamma
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,2,7074,0.10000,0.01000,1.00000
2206,3,7074,0.10000,0.01000,1.00000
2206,4,7074,0.10000,0.01000,1.00000
2206,4,7074,0.10000,0.01000,1.00000
2206,4,7074,0.10000,0.01000,1.00000
2206,4,7074,0.10000,0.01000,1.00000
2206,4,7074,0.10000,0.01000,1.00000
2206,4,7074,0.10000,0.01000,1.00000
2206,4,7074,0.10000,0.01000,1.00000
2206,4,7074,0.10000,0.01000,1.00000
