Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
0,91714.0000,7.3056,5.9000,-402.2275,NaN,NaN,641.3463,0.0089,0.2942,0.0000,0.0000
1,17393.0000,6.1092,4.2000,-459.8504,NaN,NaN,359.7938,0.0047,0.1574,0.0000,0.0000
2,15126.0000,5.9597,6.0500,-414.6428,NaN,NaN,160.8848,0.0110,0.2460,0.0000,0.0000
3,10114.0000,4.6454,5.3000,-194.9842,NaN,NaN,137.8467,0.0143,0.6547,0.0000,0.0000
4,9353.0000,5.1202,6.6000,-278.1386,NaN,NaN,64.1214,0.0278,0.1732,0.0000,0.0000
5,8926.0000,5.3859,6.3500,-388.2912,NaN,NaN,150.8253,0.0065,0.2140,0.0000,0.0000
6,7842.0000,5.1925,6.6500,-324.2400,NaN,NaN,103.4829,0.0120,0.2039,0.0000,0.0000
7,6319.0000,5.0683,8.0000,-367.4638,NaN,NaN,83.9709,0.0208,0.0861,0.0000,0.0000
8,6119.0000,4.8972,7.4000,-314.7110,NaN,NaN,82.3877,0.0040,0.1344,0.0000,0.0000
9,4860.0000,4.8135,6.8500,-435.2146,NaN,NaN,63.9539,0.0274,0.0568,0.0000,0.0000
10,4826.0000,4.9076,5.9000,-489.2265,NaN,NaN,73.4871,0.0064,0.0874,0.0000,0.0000
11,3332.0000,4.5693,6.9500,-481.3549,NaN,NaN,18.0145,0.0240,0.0226,0.0000,0.0000
12,3181.0000,4.2023,5.7000,-278.6499,NaN,NaN,47.2343,0.0190,0.1028,0.0000,0.0000
13,3127.0000,4.4867,7.5000,-513.9552,NaN,NaN,102.7622,0.0096,0.1017,0.0000,0.0000
14,3090.0000,4.2809,7.2500,-339.4859,NaN,NaN,45.6340,0.0135,0.0577,0.0000,0.0000
15,2884.0000,4.4879,5.6500,-503.9795,NaN,NaN,66.6089,0.0142,0.0484,0.0000,0.0000
16,2806.0000,4.0554,6.7000,-283.5719,NaN,NaN,59.2110,0.0178,0.0805,0.0000,0.0000
17,2586.0000,4.4049,6.7500,-459.5716,NaN,NaN,65.3308,0.0069,0.1743,0.0000,0.0000
18,2531.0000,3.0036,5.8000,-105.3868,NaN,NaN,55.3120,0.0364,0.6563,0.0000,0.0000
