iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
0	1557937309605	0	0	0.001	0.0	0	0	0.9890505017272577
100	1557937331771	30	8	0.0010671163020233591	0.001096127946127946	9	19	0.988962987333443
200	1557937351939	30	9	0.0011960848823819707	0.0014272727272727273	9	19	0.9888080276361244
300	1557937372194	46	12	0.0013559796019082086	0.0018804713804713804	18	18	0.9886859680868564
400	1557937392590	30	11	0.0015326533969402863	0.0023186868686868685	10	18	0.988554531995394
500	1557937412838	40	11	0.0017040631682842572	0.002685016835016835	18	20	0.9883975982891923
600	1557937433138	31	11	0.0018452048034216153	0.0028978114478114478	10	19	0.9882442835992762
700	1557937453410	33	10	0.0019827274222734004	0.0031129629629629628	11	19	0.9880412896858036
800	1557937473766	34	11	0.0020876788945550255	0.0032715488215488216	12	20	0.9880070735318309
900	1557937494289	34	9	0.00222174699786149	0.0034104377104377105	12	20	0.9878805724625761
1000	1557937514920	46	7	0.0023222569501562757	0.003537205387205387	24	20	0.98774025333114
1100	1557937535640	33	8	0.0024007238032571145	0.0036602693602693606	11	20	0.9877289027800625
1200	1557937556225	35	8	0.0024765586445139004	0.003791077441077441	12	20	0.9877144267149203
1300	1557937577041	34	11	0.002554531995393979	0.003886195286195286	11	21	0.987631847343313
1400	1557937598056	34	16	0.002620825793716072	0.0039877104377104376	12	20	0.9874699786149038
1500	1557937619226	37	12	0.0026639249876624447	0.004073232323232323	13	22	0.9875418654383945
1600	1557937640306	36	8	0.0027126172067774303	0.004136363636363637	14	20	0.9873893732521797
1700	1557937661431	35	8	0.0027611449251521633	0.004207575757575757	13	20	0.9874114163513735
1800	1557937682606	43	11	0.002801612107254483	0.00427929292929293	20	21	0.98740911334101
1900	1557937703496	33	8	0.0028302352360585624	0.004351010101010101	11	20	0.9873303174864287
2000	1557937724359	35	7	0.002868399407797335	0.004379461279461279	12	21	0.9873123869057411
2100	1557937745223	34	11	0.0029085375884191477	0.004468350168350168	12	20	0.9872620496792236
2200	1557937766237	33	9	0.002925810166145748	0.004546464646464647	12	19	0.9872150024675111
2300	1557937787384	35	11	0.002959203816417174	0.004609427609427609	12	21	0.9871452541536437
2400	1557937808594	34	20	0.002971705872676427	0.004652525252525253	12	20	0.9871737127817075
2500	1557937829651	35	15	0.002993913472610627	0.004718518518518519	13	19	0.9872497121237046
2600	1557937850714	36	8	0.0030036190162855735	0.004775925925925926	14	20	0.9871406481329166
2700	1557937871859	34	14	0.0030375061687777597	0.0048375420875420875	12	20	0.9871689422602402
2800	1557937892829	34	10	0.0030378351702582663	0.004894444444444444	13	19	0.9871646652409936
2900	1557937914024	35	10	0.0030355321598947195	0.0049388888888888885	13	20	0.9871304490870209
3000	1557937935265	35	16	0.003067116302023359	0.004985016835016835	13	20	0.9870931074189834
3100	1557937956350	35	9	0.003097384438229972	0.005018686868686869	13	20	0.9870636617864781
