elegans,caenorhabditis,nematode,results,found,observed,study,single,specific,similar,show,suggest,large,based,examined,evidence,type,form,studies,analysis
protein,elegans,function,required,encodes,gene,proteins,role,caenorhabditis,show,family,functions,activity,suggest,results,conserved,expression,essential,regulates,regulation
genetic,biology,review,studies,molecular,understanding,research,genetics,model,elegans,organism,system,worm,organisms,recent,development,mechanisms,systems,years,study
mutations,alleles,mutants,mutant,gene,phenotype,mutation,genes,allele,wild,defects,phenotypes,function,type,dominant,null,recessive,suppressors,genetic,result
amino,gene,sequence,cdna,acid,elegans,protein,encoding,cloned,predicted,caenorhabditis,cloning,region,transcripts,kb,transcript,terminal,exons,encodes,mrna
genes,family,families,drosophila,members,conserved,proteins,melanogaster,sequences,phylogenetic,evolution,related,genomes,species,orthologs,genome,evolutionary,human,sequence,fly
cell,cells,lineage,divisions,lineages,division,early,development,embryogenesis,embryos,embryonic,fates,pattern,daughter,embryo,fate,invariant,blastomeres,founder,laser
growth,eggs,worms,days,effects,reproduction,nematodes,liquid,coli,populations,effect,temperatures,temperature,concentrations,brood,young,grown,bacteria,treatment,ml
domain,binding,residues,amino,terminal,domains,region,acid,site,coil,residue,protein,structure,acids,coiled,leucine,hydrophobic,helical,loop,ala
expression,expressed,embryonic,stages,larval,development,gfp,embryos,cells,embryogenesis,gene,stage,rna,adult,reporter,early,tissue,late,interference,rnai
ced,death,programmed,apoptosis,cell,apoptotic,bcl,engulfment,caspase,cells,pcd,ces,corpses,deaths,caspases,phagocytosis,bh,die,dying,ice
life,age,span,aging,longevity,lived,clk,daf,ageing,stress,resistance,long,lifespan,increased,ctl,extension,gro,spans,fer,spe
lin,vulval,vulva,cell,fates,precursor,anchor,fate,vpcs,uterine,inductive,cells,degrees,induction,lateral,competence,signal,vpc,development,adopt
genome,genes,sequence,sequencing,throughput,scale,genomics,mb,genomic,project,tags,predicted,proteome,data,annotation,analysis,projects,est,ests,gene
sequences,regions,elements,sequence,briggsae,base,flanking,genes,bp,repetitive,dna,coding,pairs,cis,element,promoter,repeated,upstream,repeat,regulatory
