iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
0	1601289383095	0	0	0.001	0.0	0	0	0.9890695838131272
100	1601289396058	29	6	0.0010118440532982398	0.001006060606060606	10	19	0.9889613423260405
200	1601289416503	41	7	0.001079947359763119	0.001063973063973064	11	22	0.989009705543675
300	1601289439083	37	8	0.0013072873827932225	0.0015235690235690237	11	25	0.9888118111531502
400	1601289460982	31	8	0.0016609639743378846	0.0023442760942760945	14	17	0.988418160881724
500	1601289480777	39	10	0.0019202171409771344	0.0028466329966329966	12	27	0.9881722322750452
600	1601289500492	49	10	0.0021200855403849315	0.0031636363636363637	24	25	0.9879282776772496
700	1601289520487	49	8	0.0022617206777430497	0.003445454545454546	23	24	0.9878707024181609
800	1601289540162	50	8	0.0023500575752590886	0.003689057239057239	23	27	0.9878104951472282
900	1601289559911	39	10	0.0024392169764763942	0.0038415824915824914	20	19	0.9876830070735318
1000	1601289580077	37	12	0.002494982727422273	0.003997811447811448	13	23	0.9876943576246093
1100	1601289600892	42	10	0.002559467017601579	0.004105218855218856	15	26	0.9876280638262872
1200	1601289621875	32	8	0.002579371607172232	0.0042193602693602695	14	17	0.9875213028458628
1300	1601289642195	68	10	0.002641223885507485	0.004295286195286195	20	48	0.9874665240993584
1400	1601289663818	43	9	0.002678565553544991	0.00439983164983165	18	24	0.9873678236552065
1500	1601289741512	48	12	0.002725283763776937	0.004493771043771044	16	25	0.9874081263365685
1600	1601289819842	37	9	0.00274518835334759	0.004533501683501683	14	21	0.9873665076492845
1700	1601289891610	33	9	0.002782859022865603	0.0045658249158249155	14	18	0.9873543345945057
1800	1601289937260	41	10	0.0027900970554367494	0.0046631313131313135	17	20	0.9873112354005593
1900	1601289960323	46	10	0.002820200690903109	0.004710774410774411	17	24	0.9873554860996875
2000	1601289988564	73	10	0.0028535943411745353	0.004747306397306398	21	26	0.9873368975160388
2100	1601290013370	40	9	0.0028695509129791083	0.004767676767676768	15	24	0.9873176509294291
2200	1601290038095	60	16	0.0028781049514722814	0.004805892255892256	31	28	0.987184405329824
2300	1601290062409	47	11	0.002897516038822175	0.004823063973063973	17	29	0.9872327685474585
2400	1601290086860	80	12	0.002918572133574601	0.004853367003367004	41	37	0.9872702747162362
2500	1601290110229	56	10	0.002918078631353841	0.004874074074074074	17	37	0.9871978943905247
2600	1601290132434	42	10	0.0029379832209244943	0.004897474747474748	16	25	0.987219443987498
2700	1601290154305	43	10	0.002942424740911334	0.004915488215488216	17	26	0.9872424740911334
2800	1601290178825	58	13	0.002956407303832867	0.004934175084175084	22	34	0.9872559631518342
2900	1601290204845	59	11	0.002968251357131107	0.004957239057239058	19	38	0.9871691067609805
3000	1601290235772	72	12	0.002973186379338707	0.00496986531986532	21	34	0.9872256950156276
3100	1601290263558	47	10	0.00300789603553216	0.004968686868686869	19	26	0.9872133574601085
3200	1601290292736	182	56	0.0030305971376871194	0.005006228956228956	148	31	0.9871439381477216
