elegans,caenorhabditis,nematode,results,found,single,observed,study,model,evidence,addition,present,examined,suggest,type,high,experiments,number,role,similar
protein,elegans,function,proteins,gene,encodes,required,caenorhabditis,role,family,show,functions,expression,conserved,activity,domain,suggest,homolog,essential,results
genetic,review,studies,molecular,biology,research,genetics,understanding,organism,organisms,elegans,recent,model,worm,systems,development,system,mechanisms,nematode,years
gene,sequence,cdna,amino,elegans,acid,protein,encoding,genes,sequences,genomic,cloned,kb,cloning,predicted,caenorhabditis,region,coding,exons,mrna
mutations,mutants,mutant,alleles,gene,mutation,wild,phenotype,genes,function,type,allele,phenotypes,dominant,defects,null,recessive,loss,genetic,result
genes,families,family,evolution,members,genomes,drosophila,phylogenetic,sequences,proteins,evolutionary,genome,melanogaster,conserved,gene,divergence,sequence,related,orthologs,conservation
growth,reproduction,days,worms,nematodes,eggs,effects,nematode,liquid,population,cultures,agar,culture,day,young,coli,bacteria,adults,medium,grown
domain,terminal,binding,residues,amino,domains,protein,residue,region,terminus,coil,acid,motif,structure,conserved,hydrophobic,coiled,site,acids,carboxy
life,span,age,aging,longevity,clk,lived,daf,ageing,metabolic,lifespan,long,gro,resistance,stress,increased,rate,extension,ctl,spe
early,cell,embryos,embryo,blastomeres,embryogenesis,blastomere,pie,maternal,embryonic,skn,lineage,cells,abp,founder,ab,mex,specification,gut,cleavages
ced,death,programmed,apoptosis,cell,apoptotic,bcl,caspase,engulfment,ces,pcd,cells,corpses,caspases,deaths,phagocytosis,die,bh,nuc,dying
expression,larval,embryonic,development,stages,expressed,adult,gfp,stage,cells,rna,embryogenesis,gene,embryos,interference,early,late,hypodermis,essential,intestine
lin,vulval,vulva,fates,precursor,cell,vpcs,fate,induction,inductive,degrees,anchor,signal,cells,vpc,lateral,specification,adopt,signaling,development
cell,cells,lineage,lineages,divisions,lin,division,fates,mosaic,fate,development,invariant,laser,postembryonic,asymmetric,microbeam,generate,daughter,types,blast
