Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
0,65059.0000,7.5993,7.0000,-369.5791,NaN,NaN,144.3456,0.0089,0.2236,0.0000,0.0000
1,41005.0000,7.2862,7.9500,-388.7830,NaN,NaN,216.8835,0.0093,0.2847,0.0000,0.0000
2,33714.0000,7.2407,6.5000,-530.1028,NaN,NaN,165.2710,0.0030,0.1663,0.0000,0.0000
3,27221.0000,6.7661,7.4500,-364.2500,NaN,NaN,86.8537,0.0087,0.1801,0.0000,0.0000
4,22813.0000,6.4730,7.1500,-335.7282,NaN,NaN,99.4327,0.0056,0.3247,0.0000,0.0000
5,14102.0000,6.1635,7.6000,-336.1449,NaN,NaN,112.9257,0.0101,0.2710,0.0000,0.0000
6,11163.0000,5.9157,8.2500,-353.7728,NaN,NaN,45.7550,0.0241,0.2339,0.0000,0.0000
7,7790.0000,5.3648,6.1500,-278.8726,NaN,NaN,51.7313,0.0202,0.3789,0.0000,0.0000
8,7646.0000,5.2701,5.9000,-403.3655,NaN,NaN,12.0915,0.0504,0.4449,0.0000,0.0000
9,7068.0000,5.5815,7.3000,-397.3987,NaN,NaN,85.0323,0.0145,0.1595,0.0000,0.0000
10,6848.0000,5.1668,7.1500,-283.7552,NaN,NaN,26.6436,0.0341,0.3519,0.0000,0.0000
11,6519.0000,5.5283,7.5000,-420.0229,NaN,NaN,73.1146,0.0361,0.1693,0.0000,0.0000
12,6080.0000,5.3392,6.8000,-366.6968,NaN,NaN,80.4376,0.0095,0.2761,0.0000,0.0000
13,5736.0000,4.9691,5.5500,-245.6064,NaN,NaN,31.8411,0.0222,0.3476,0.0000,0.0000
14,5501.0000,4.9518,5.9500,-292.3672,NaN,NaN,30.1033,0.0188,0.3622,0.0000,0.0000
15,5259.0000,4.8010,7.2000,-272.0206,NaN,NaN,46.1918,0.0276,0.4691,0.0000,0.0000
16,5217.0000,5.3649,8.6500,-456.0858,NaN,NaN,88.2368,0.0045,0.1926,0.0000,0.0000
17,4788.0000,4.6627,6.3500,-295.3263,NaN,NaN,35.2506,0.0083,0.3595,0.0000,0.0000
18,4565.0000,5.1655,7.6500,-358.6568,NaN,NaN,93.7551,0.0213,0.2691,0.0000,0.0000
19,4382.0000,4.8053,6.4000,-277.9388,NaN,NaN,19.8860,0.0448,0.3148,0.0000,0.0000
20,4261.0000,4.6951,7.4000,-301.1746,NaN,NaN,30.8545,0.0282,0.4315,0.0000,0.0000
21,4182.0000,4.5554,6.9000,-204.7800,NaN,NaN,63.6904,0.0251,0.3433,0.0000,0.0000
22,4036.0000,4.9263,6.4500,-476.3562,NaN,NaN,32.1750,0.0175,0.1777,0.0000,0.0000
23,3798.0000,4.4914,6.2500,-228.2697,NaN,NaN,41.8263,0.0281,0.3780,0.0000,0.0000
24,3643.0000,4.2786,6.0000,-201.1440,NaN,NaN,36.8362,0.0159,0.5208,0.0000,0.0000
25,3635.0000,4.5465,7.0500,-252.6984,NaN,NaN,13.7415,0.0550,0.3615,0.0000,0.0000
26,3593.0000,4.7526,6.0000,-264.9856,NaN,NaN,51.1754,0.0201,0.2548,0.0000,0.0000
27,3529.0000,4.7301,7.9000,-455.4943,NaN,NaN,14.5202,0.0323,0.2039,0.0000,0.0000
28,3517.0000,4.8139,7.6500,-267.6413,NaN,NaN,68.3481,0.0138,0.4259,0.0000,0.0000
29,3459.0000,4.5590,6.6500,-338.9027,NaN,NaN,50.9424,0.0226,0.3053,0.0000,0.0000
30,3456.0000,4.5824,5.6000,-381.3100,NaN,NaN,39.2327,0.0342,0.4538,0.0000,0.0000
31,3419.0000,4.8540,4.7500,-489.1551,NaN,NaN,5.9823,0.0807,0.1050,0.0000,0.0000
32,3382.0000,4.6370,6.9500,-350.9783,NaN,NaN,14.8452,0.0547,0.3358,0.0000,0.0000
33,3373.0000,4.9952,7.9000,-486.5106,NaN,NaN,72.2224,0.0288,0.1173,0.0000,0.0000
34,3322.0000,4.5031,5.1000,-555.3367,NaN,NaN,32.1163,0.0239,0.3826,0.0000,0.0000
35,3305.0000,4.5230,5.9000,-286.2962,NaN,NaN,43.2899,0.0302,0.3554,0.0000,0.0000
36,3179.0000,4.4348,7.0500,-442.4207,NaN,NaN,56.2819,0.0263,0.3675,0.0000,0.0000
37,3155.0000,5.2302,7.9000,-753.6679,NaN,NaN,30.7044,0.0216,0.0957,0.0000,0.0000
38,3115.0000,4.7588,8.3500,-457.5663,NaN,NaN,54.2101,0.0334,0.2075,0.0000,0.0000
39,3064.0000,4.9300,7.9500,-533.0704,NaN,NaN,94.8964,0.0241,0.2186,0.0000,0.0000
40,2962.0000,4.3611,8.2000,-325.9085,NaN,NaN,78.0736,0.0236,0.3774,0.0000,0.0000
41,2937.0000,4.6139,7.8500,-443.8754,NaN,NaN,27.1572,0.0317,0.2500,0.0000,0.0000
42,2838.0000,4.5354,6.5000,-325.9869,NaN,NaN,90.3205,0.0187,0.2880,0.0000,0.0000
43,2827.0000,4.4062,6.2000,-338.9064,NaN,NaN,38.4377,0.0181,0.2710,0.0000,0.0000
44,2793.0000,4.1154,6.7500,-297.0946,NaN,NaN,71.9748,0.0262,0.4706,0.0000,0.0000
45,2793.0000,4.8024,9.1000,-424.0578,NaN,NaN,46.7921,0.0280,0.1776,0.0000,0.0000
46,2631.0000,4.4433,6.0500,-549.2132,NaN,NaN,19.1193,0.0225,0.1842,0.0000,0.0000
47,2617.0000,4.2486,6.3500,-338.8137,NaN,NaN,25.0467,0.0304,0.3556,0.0000,0.0000
48,2460.0000,4.4570,7.0000,-417.9421,NaN,NaN,31.5230,0.0129,0.1774,0.0000,0.0000
49,2452.0000,4.4586,7.5000,-582.6829,NaN,NaN,44.7604,0.0140,0.2174,0.0000,0.0000
50,2442.0000,4.1992,6.7500,-365.6792,NaN,NaN,65.3433,0.0352,0.3556,0.0000,0.0000
51,2409.0000,4.4738,6.3500,-342.4106,NaN,NaN,28.6807,0.0286,0.1450,0.0000,0.0000
