M,K,V,alpha,beta,gamma
5940,2,6079,0.10000,0.01000,1.00000
5940,2,6079,0.10000,0.01000,1.00000
5940,2,6079,0.10000,0.01000,1.00000
5940,2,6079,0.10000,0.01000,1.00000
5940,2,6079,0.10000,0.01000,1.00000
5940,2,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,3,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,5,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,4,6079,0.10000,0.01000,1.00000
5940,5,6079,0.10000,0.01000,1.00000
5940,5,6079,0.10000,0.01000,1.00000
5940,5,6079,0.10000,0.01000,1.00000
5940,5,6079,0.10000,0.01000,1.00000
5940,6,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,7,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,8,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,9,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,10,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,11,6079,0.10000,0.01000,1.00000
5940,12,6079,0.10000,0.01000,1.00000
5940,12,6079,0.10000,0.01000,1.00000
5940,12,6079,0.10000,0.01000,1.00000
5940,12,6079,0.10000,0.01000,1.00000
5940,12,6079,0.10000,0.01000,1.00000
5940,12,6079,0.10000,0.01000,1.00000
5940,12,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,13,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,14,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,15,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,16,6079,0.10000,0.01000,1.00000
5940,17,6079,0.10000,0.01000,1.00000
5940,17,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,18,6079,0.10000,0.01000,1.00000
5940,19,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,20,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
5940,21,6079,0.10000,0.01000,1.00000
