Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
0,67014.0000,7.5934,7.0500,-374.4625,NaN,NaN,141.2661,0.0116,0.2320,0.0000,0.0000
1,41408.0000,7.2761,7.9500,-383.8931,NaN,NaN,206.2042,0.0088,0.2892,0.0000,0.0000
2,33935.0000,7.2676,6.5500,-574.8659,NaN,NaN,170.2150,0.0040,0.1531,0.0000,0.0000
3,23967.0000,6.5001,7.2000,-334.5206,NaN,NaN,95.0277,0.0037,0.3393,0.0000,0.0000
4,23669.0000,6.5878,7.1500,-348.4178,NaN,NaN,83.3260,0.0150,0.1847,0.0000,0.0000
5,13572.0000,6.1236,7.5000,-344.1153,NaN,NaN,120.1215,0.0102,0.2808,0.0000,0.0000
6,11410.0000,5.9107,8.2500,-349.8844,NaN,NaN,49.9912,0.0203,0.2465,0.0000,0.0000
7,7811.0000,5.4273,6.1000,-279.5554,NaN,NaN,54.1656,0.0265,0.3333,0.0000,0.0000
8,7511.0000,5.6918,7.1500,-402.9257,NaN,NaN,83.0185,0.0219,0.1778,0.0000,0.0000
9,7366.0000,5.2597,6.7500,-287.9968,NaN,NaN,25.1214,0.0338,0.3466,0.0000,0.0000
10,7365.0000,5.2664,6.1500,-371.1974,NaN,NaN,13.0408,0.0460,0.4246,0.0000,0.0000
11,6834.0000,5.6236,7.5500,-527.5227,NaN,NaN,72.0236,0.0244,0.1441,0.0000,0.0000
12,6457.0000,5.4716,7.1500,-395.5072,NaN,NaN,79.7755,0.0173,0.2215,0.0000,0.0000
13,5717.0000,5.0003,7.3500,-289.6358,NaN,NaN,40.2415,0.0334,0.3800,0.0000,0.0000
14,5362.0000,4.9935,6.3000,-257.6183,NaN,NaN,29.9732,0.0258,0.2944,0.0000,0.0000
15,5269.0000,4.9648,6.7000,-305.9423,NaN,NaN,12.5160,0.0588,0.3161,0.0000,0.0000
16,5024.0000,4.7813,6.1000,-309.8101,NaN,NaN,32.7919,0.0116,0.3392,0.0000,0.0000
17,4973.0000,4.8110,5.2500,-235.0117,NaN,NaN,33.5135,0.0204,0.3375,0.0000,0.0000
18,4773.0000,4.6816,7.0500,-208.2745,NaN,NaN,70.1555,0.0255,0.3399,0.0000,0.0000
19,4579.0000,5.1168,7.5000,-352.5690,NaN,NaN,98.8019,0.0146,0.3285,0.0000,0.0000
20,4190.0000,4.6421,5.7000,-311.3669,NaN,NaN,46.3606,0.0297,0.3862,0.0000,0.0000
21,4179.0000,5.3299,7.2500,-554.7950,NaN,NaN,34.0858,0.0359,0.0814,0.0000,0.0000
22,4178.0000,5.2052,7.7000,-468.6767,NaN,NaN,114.8219,0.0293,0.1660,0.0000,0.0000
