Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
0,182743.0000,7.1613,7.5500,-153.1437,NaN,NaN,467.2320,0.0035,0.0545,0.0000,0.0007
1,162355.0000,11.1459,5.8500,-495.3667,NaN,NaN,269.2166,0.4029,0.0038,0.0000,0.0000
2,129745.0000,7.1514,5.2500,-175.6925,NaN,NaN,354.3180,0.0021,0.0102,0.0000,0.0000
3,52356.0000,-4.3912,7.0500,-543.0253,NaN,NaN,131.3546,0.2221,0.0811,0.0000,0.0000
4,44155.0000,10.2615,6.8500,-195.4859,NaN,NaN,34.3217,0.4506,0.0635,0.0000,0.0317
5,31938.0000,9.9162,6.4500,-166.4014,NaN,NaN,6.6859,0.5680,0.0690,0.0000,0.0345
6,22522.0000,7.8074,7.1500,-360.4660,NaN,NaN,46.9834,0.4635,0.0685,0.0000,0.0068
7,17055.0000,5.4781,6.2500,-237.1351,NaN,NaN,7.9737,0.5795,0.0244,0.0000,0.0000
8,16470.0000,7.5477,6.9000,-161.6865,NaN,NaN,6.3176,0.6140,0.0435,0.0000,0.0109
9,16074.0000,8.6671,6.3000,-21.5127,NaN,NaN,33.4880,0.6425,0.1667,0.0000,0.0667
10,16047.0000,8.7270,7.0500,0.0000,NaN,NaN,41.3742,NaN,0.0667,0.0000,0.0000
11,16029.0000,8.0622,5.9000,-52.4727,NaN,NaN,61.5826,0.6201,0.0568,0.0000,0.0227
12,15796.0000,9.2618,6.8500,0.0000,NaN,NaN,17.0126,NaN,0.0750,0.0000,0.0000
13,15168.0000,5.2229,7.0000,-9.1902,NaN,NaN,32.3704,0.6479,0.0090,0.0000,0.0000
14,13891.0000,8.3849,6.6000,-261.3167,NaN,NaN,20.2871,0.4795,0.0351,0.0455,0.0351
15,13137.0000,3.8223,6.8500,-284.2613,NaN,NaN,86.4588,0.4678,0.0620,0.0000,0.0000
16,12827.0000,7.2974,7.1000,-271.9372,NaN,NaN,27.8800,0.3831,0.1250,0.0385,0.0714
17,12164.0000,8.9143,7.2500,0.0000,NaN,NaN,2.9533,NaN,0.2000,0.0000,0.1000
18,11978.0000,-10.5042,7.2000,-644.3621,NaN,NaN,69.6570,0.2929,0.0097,0.0000,0.0000
19,11366.0000,7.6305,7.3500,-56.7273,NaN,NaN,33.6839,0.6288,0.1613,0.0000,0.1290
20,10866.0000,6.9471,5.9500,-88.4456,NaN,NaN,27.3392,0.6012,0.0795,0.0000,0.0000
21,10372.0000,8.0116,6.5000,-78.4570,NaN,NaN,32.9457,0.5555,0.1000,0.0000,0.0200
22,10098.0000,8.8302,6.9000,0.0000,NaN,NaN,3.6433,NaN,0.4000,0.0000,0.0000
23,9185.0000,7.8411,6.3000,-120.7716,NaN,NaN,4.2398,0.6362,0.0556,0.0000,0.0185
24,8592.0000,8.4750,6.7000,0.0000,NaN,NaN,45.8287,NaN,0.1000,0.0000,0.0500
25,8529.0000,8.2613,6.5500,-55.9495,NaN,NaN,36.2074,0.6274,0.1875,0.0000,0.0000
26,8397.0000,7.3941,8.0000,0.0000,NaN,NaN,73.7810,NaN,0.1250,0.0000,0.0625
27,8387.0000,8.4819,6.8500,-105.6823,NaN,NaN,14.8704,0.5049,0.1111,0.0000,0.0556
28,8327.0000,6.6857,5.7000,-46.1512,NaN,NaN,18.9067,0.6295,0.0000,0.0000,0.0000
29,7813.0000,3.3943,8.1500,-210.7935,NaN,NaN,4.3512,0.5898,0.1477,0.0000,0.0568
30,7655.0000,7.1134,7.3500,-91.2168,NaN,NaN,40.4210,0.6086,0.0361,0.0000,0.0000
31,7602.0000,-1.7010,8.0500,-102.7166,NaN,NaN,62.4521,0.5601,0.0877,0.0000,0.0058
32,7525.0000,6.5232,7.8000,0.0000,NaN,NaN,8.1677,NaN,0.0909,0.0000,0.0000
33,7481.0000,7.7342,8.7500,-50.7663,NaN,NaN,12.3994,0.6231,0.0698,0.0000,0.0000
34,7408.0000,6.0073,6.2500,-141.1782,NaN,NaN,20.8866,0.5825,0.0595,0.0000,0.0238
35,7370.0000,6.6714,7.9500,-125.2297,NaN,NaN,30.2327,0.5209,0.1034,0.0000,0.0345
36,7135.0000,7.6601,7.8000,0.0000,NaN,NaN,10.4035,NaN,0.0079,0.0000,0.0000
37,6690.0000,4.0671,7.4000,-112.7757,NaN,NaN,26.9886,0.0258,0.0309,0.0000,0.0000
38,6564.0000,5.1248,7.6000,-254.4469,NaN,NaN,15.0939,0.0369,0.0000,0.0000,0.0000
39,6479.0000,8.3104,6.7000,-74.2463,NaN,NaN,26.6637,0.5897,0.0714,0.0000,0.0714
40,6449.0000,6.3080,6.2500,0.0000,NaN,NaN,3.8478,NaN,0.0735,0.0000,0.0147
41,6296.0000,7.1777,7.2000,-146.0522,NaN,NaN,40.4523,0.5134,0.0429,0.0000,0.0143
42,5948.0000,4.5216,6.8000,-173.9882,NaN,NaN,37.5781,0.0328,0.0120,0.0000,0.0000
43,5889.0000,7.9404,6.6500,-79.8995,NaN,NaN,52.3090,0.5861,0.2000,0.0000,0.1000
44,5848.0000,6.2706,7.8500,-55.9495,NaN,NaN,18.6849,0.6443,0.1389,0.0000,0.0000
45,5847.0000,6.3757,6.0500,-119.0235,NaN,NaN,20.1284,0.5155,0.0588,0.0000,0.0294
