iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
0	1557934345071	0	0	0.001	0.0	0	0	0.9891329570125923
100	1557934366873	39	8	0.0011690838037342597	0.0012715143428952635	14	25	0.9889311333043855
200	1557934388453	46	11	0.001837255753365176	0.003258839226150767	20	26	0.9882998697351281
300	1557934421479	56	12	0.0025842813721233173	0.005605070046697798	30	26	0.987574902301346
400	1557934486450	68	12	0.0031584020842379506	0.007539026017344897	36	32	0.9870198871037776
500	1557934551944	74	13	0.0035427702996092053	0.009299533022014675	46	28	0.986663829787234
600	1557934618293	80	16	0.003879201042118975	0.010691127418278852	47	33	0.9863564915327834
700	1557934685154	89	26	0.004120798957881025	0.011907271514342895	56	33	0.986174989144594
800	1557934752544	81	13	0.004331914893617022	0.012955303535690462	52	29	0.9859711680416847
900	1557934820238	99	13	0.004516630481980026	0.013720480320213476	69	29	0.9858559270516717
1000	1557934888388	96	15	0.004660356057316544	0.014563042028018678	68	28	0.9856854537559705
1100	1557934957006	89	15	0.00482648719062093	0.015154769846564376	63	26	0.9855301780286583
1200	1557935023404	107	26	0.004916717325227964	0.015584389593062041	73	34	0.9854439426834564
1300	1557935051351	105	14	0.005015979157620495	0.0159339559706471	75	30	0.9852998697351281
1400	1557935079591	112	14	0.005085627442466348	0.01638292194796531	83	29	0.9853018671298307
1500	1557935108001	111	15	0.005114633087277464	0.016685123415610407	81	29	0.9852788536691273
1600	1557935136675	106	14	0.005165436387320886	0.01697264843228819	76	30	0.985345809813287
1700	1557935165316	100	15	0.005216760746851932	0.017221480987324882	71	29	0.9851690838037342
1800	1557935194222	101	14	0.005258619192357795	0.017482321547698465	73	28	0.9851130699088146
1900	1557935223345	120	14	0.005270429874077291	0.017649099399599733	90	29	0.9851615284411637
2000	1557935252264	104	14	0.005318193660442901	0.01774049366244163	73	31	0.9851316543638732
2100	1557935281280	120	14	0.005325227963525836	0.017777851901267513	90	29	0.9851220147633521
2200	1557935310515	127	15	0.0053579678679982635	0.018022014676450968	93	34	0.9850891011723838
2300	1557935339849	121	15	0.005399305254016501	0.018111407605070046	92	29	0.9850711246200607
