iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
0	1600367626399	0	0	0.001	0.0	0	0	0.9890583586626139
100	1600367647899	38	9	0.0012765089014329135	0.001533689126084056	15	23	0.9888280503690838
200	1600367669402	47	12	0.0018904906643508468	0.0035390260173448966	24	22	0.9882521927920104
300	1600367691882	45	15	0.0026250108554059922	0.00538825883922615	24	21	0.9875421623968736
400	1600367715069	61	14	0.0033089014329135908	0.007324883255503669	37	24	0.9869939209726444
500	1600367739195	69	15	0.0038269214068606164	0.009250166777851902	44	25	0.9864574902301346
600	1600367764307	83	29	0.004276335214937039	0.011032688458972649	57	26	0.9860379504993487
700	1600367827015	83	15	0.004517585757707338	0.012317545030020012	52	31	0.985723664785063
800	1600367894388	94	15	0.004767781155015197	0.013368245496998	65	29	0.9855528441163699
900	1600367961897	84	15	0.004950065132435953	0.01414342895263509	57	27	0.9854062527138515
1000	1600368030281	105	15	0.005139557099435519	0.014886591060707138	77	27	0.9852610508033001
1100	1600368098625	102	19	0.005235084672166739	0.015324216144096065	78	24	0.9852062527138515
1200	1600368154006	111	14	0.0053720364741641335	0.015971981320880586	84	26	0.9850488059053408
1300	1600368182377	113	16	0.005477203647416413	0.01640226817878586	86	27	0.9849628310898828
1400	1600368211086	119	16	0.005548241424229266	0.016811207471647764	86	33	0.9849208858011289
1500	1600368239908	107	17	0.005601910551454624	0.017045363575717145	79	28	0.9848877116804169
1600	1600368268876	112	15	0.005660182370820669	0.01732755170113409	83	28	0.9848573165436387
1700	1600368297870	105	28	0.005683803734259661	0.01760907271514343	80	25	0.9847797655232305
1800	1600368326941	101	18	0.005745201910551455	0.017815210140093393	76	25	0.9847179331306991
1900	1600368356386	119	29	0.005732870169344334	0.018112741827885255	94	25	0.9847563178462875
2000	1600368385602	108	17	0.005763786365610074	0.01824616410940627	78	30	0.9847536257056014
2100	1600368415230	124	16	0.005830742509769865	0.018392928619079388	92	32	0.9847250542770299
2200	1600368444665	116	16	0.005817629179331307	0.018478318879252838	83	33	0.9846822405557968
2300	1600368474351	114	15	0.005822752930959618	0.01870780520346898	87	26	0.9846820668693009
2400	1600368504156	131	15	0.005871211463308728	0.01885256837891928	104	27	0.984630568823274
2500	1600368533905	131	15	0.005885453755970473	0.0189339559706471	98	33	0.9845961788970907
2600	1600368563827	145	17	0.0059033434650455924	0.019053368912608407	118	27	0.9846965696917065
2700	1600368593655	129	31	0.00590481980026053	0.019148098732488326	97	32	0.9845720364741641
2800	1600368623625	128	16	0.0059368649587494575	0.019326217478318877	96	32	0.9845740338688667
2900	1600368653618	126	17	0.005985670864090317	0.019368245496998	98	28	0.98452505427703
3000	1600368683560	125	16	0.005942422926617456	0.01943295530353569	100	25	0.9845221884498481
3100	1600368713655	118	16	0.005942683456361268	0.01949432955303536	94	24	0.9845647416413373
3200	1600368743826	121	16	0.005959270516717325	0.019645763842561708	92	29	0.9845762917933131
3300	1600368774160	122	16	0.005970646982197134	0.019739159439626418	90	32	0.9845539730785932
3400	1600368804382	108	18	0.005996613113330438	0.019855903935957306	80	27	0.9845455492835432
3500	1600368834594	122	17	0.005957099435518889	0.019787191460973984	97	25	0.9845313069908814
3600	1600368864643	122	16	0.005988015631784629	0.019899933288859237	94	28	0.9844838037342597
3700	1600368894981	128	16	0.005977941815023882	0.019918612408272182	100	28	0.9845441597915762
3800	1600368925330	127	15	0.006001823708206687	0.020027351567711807	99	27	0.9845616152844117
3900	1600368955658	134	15	0.006047503256621798	0.02019212808539026	101	33	0.9844723404255319
4000	1600368986092	132	17	0.006021710811984368	0.02020280186791194	104	28	0.9844956144159791
4100	1600369016575	112	15	0.00601372123317412	0.020245496997998665	83	28	0.98451958315241
4200	1600369047235	135	16	0.006028484585323491	0.020366244162775184	107	28	0.9845167173252279
4300	1600369077635	112	16	0.0060537559704732955	0.020464976651100735	85	27	0.9844978723404255
4400	1600369108214	121	16	0.006066174554928355	0.02066711140760507	93	27	0.984515327833261
4500	1600369138932	129	16	0.0060686061658706035	0.020673115410273515	96	33	0.9844637429439861
4600	1600369169480	132	16	0.006059140251845419	0.020627084723148767	106	26	0.9844669561441598
4700	1600369200203	135	28	0.006102996092053843	0.020719813208805872	102	32	0.9844712983065567
4800	1600369230951	139	16	0.006100130264871906	0.020737158105403605	107	32	0.984436126791142
4900	1600369261607	111	20	0.006087537993920973	0.020818545697131423	86	25	0.9845491098567086
5000	1600369292232	118	16	0.006107685627442467	0.020983989326217478	86	32	0.9844010421189753
5100	1600369322824	109	16	0.006130525401650022	0.02090927284856571	84	25	0.9843723838471559
5200	1600369353540	112	16	0.0061260963960052105	0.02094062708472315	84	28	0.9844391663048198
5300	1600369384447	109	16	0.006126356925749023	0.021012008005336893	82	27	0.9843825445071646
5400	1600369415205	126	19	0.006161788970907512	0.02112274849899933	98	28	0.9843405992184108
5500	1600369446213	139	16	0.006135214937038645	0.02120280186791194	109	30	0.9844035605731655
5600	1600369477113	117	16	0.006164567954841511	0.02110006671114076	85	32	0.9843840208423795
5700	1600369507962	115	17	0.006178028658271819	0.02123549032688459	84	31	0.9844174554928354
5800	1600369538938	128	20	0.006181762917933131	0.021211474316210805	95	33	0.9843722970039079
5900	1600369570032	129	17	0.006199131567520625	0.021519679786524352	101	28	0.9843755970473296
6000	1600369601150	130	19	0.006204689535388623	0.021472314876584388	97	32	0.9843396439426835
6100	1600369632188	136	17	0.006209813287016934	0.02158905937291528	104	32	0.9843869735128093
6200	1600369663360	145	19	0.006223534520191055	0.021501667778519015	112	32	0.9843980026052974
6300	1600369694307	127	18	0.0062191923577941816	0.02144429619746498	99	28	0.9843535388623534
6400	1600369725296	138	17	0.006235432045158489	0.021491661107404938	110	28	0.9842913590968302
6500	1600369756397	123	17	0.006206773773339123	0.021591060707138093	95	27	0.984359617889709
6600	1600369787457	128	17	0.0062429874077290495	0.021554369579719814	103	24	0.9842821537125489
6700	1600369818583	111	22	0.006249761181068172	0.02159639759839893	86	25	0.984365349544073
6800	1600369849825	133	30	0.006267390360399479	0.021755170113408936	106	27	0.9842845853234911
6900	1600369881114	132	18	0.006308293530178029	0.021585056704469648	105	27	0.9842829353017802
7000	1600369912214	127	17	0.006258619192357795	0.02181187458305537	98	28	0.9843280069474598
7100	1600369943376	127	17	0.006272600955275727	0.02179853235490327	98	29	0.9843188015631784
7200	1600369974704	138	17	0.006278593139383413	0.021784523015343563	107	30	0.984280590534086
