Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
0,186816.0000,7.1697,6.9500,-161.1395,NaN,NaN,471.4199,0.0052,0.0635,0.0000,0.0000
1,167898.0000,8.8021,6.2500,-546.7628,NaN,NaN,262.1847,0.3510,0.0088,0.0000,0.0000
2,119131.0000,11.5819,5.4500,-27.9809,NaN,NaN,352.8039,0.5876,0.0085,0.0000,0.0000
3,46806.0000,9.8100,6.9500,-105.3565,NaN,NaN,120.2424,0.5990,0.0973,0.0000,0.0088
4,42766.0000,9.0058,6.7500,-374.9023,NaN,NaN,47.8364,0.3366,0.0983,0.0000,0.0058
5,32771.0000,-14.9205,6.7500,-521.6586,NaN,NaN,23.7672,0.3750,0.0810,0.0000,0.0000
6,27864.0000,7.9278,6.3500,-83.2418,NaN,NaN,7.0688,0.6254,0.0065,0.0000,0.0000
7,16826.0000,9.3915,6.3000,0.0000,NaN,NaN,27.3521,NaN,0.1538,0.0000,0.0769
8,15905.0000,8.6845,7.5000,-339.9818,NaN,NaN,40.8569,0.3820,0.0806,0.0000,0.0161
9,15885.0000,8.8751,6.0000,-6.3986,NaN,NaN,62.4390,0.6277,0.0256,0.0000,0.0000
10,15162.0000,9.2161,7.0500,0.0000,NaN,NaN,17.3367,NaN,0.2222,0.0000,0.1111
11,15049.0000,8.7619,6.8000,-104.5132,NaN,NaN,20.6261,0.6321,0.0101,0.0000,0.0101
12,14593.0000,9.3805,6.7500,-27.6907,NaN,NaN,41.8072,0.6312,0.1111,0.0000,0.0000
13,14447.0000,8.8177,7.1000,-95.9190,NaN,NaN,30.8833,0.5894,0.0702,0.0000,0.0175
14,14373.0000,8.5358,7.4000,-236.6219,NaN,NaN,89.4460,0.4889,0.0000,0.0000,0.0000
15,14260.0000,5.5166,7.0000,-34.6631,NaN,NaN,42.2124,0.6431,0.1504,0.0000,0.0531
16,13959.0000,8.8641,6.8500,-165.3153,NaN,NaN,4.8295,0.5785,0.0882,0.0000,0.0882
17,12580.0000,8.6951,7.1000,-57.5874,NaN,NaN,6.5143,0.6566,0.1000,0.0000,0.0667
18,11560.0000,8.2819,7.8500,-31.8198,NaN,NaN,35.7864,0.6252,0.0556,0.0000,0.0370
19,11405.0000,8.9517,6.1000,-201.5627,NaN,NaN,4.3073,0.5727,0.0714,0.0000,0.0000
20,11223.0000,5.1113,6.3000,-351.5226,NaN,NaN,26.3948,0.4442,0.0943,0.0000,0.0283
21,10990.0000,2.6757,8.5000,-573.5518,NaN,NaN,64.6620,0.2066,0.0640,0.0000,0.0116
22,10879.0000,-4.9134,7.4500,-372.2889,NaN,NaN,20.6611,0.3737,0.0475,0.0000,0.0000
23,10838.0000,3.8745,6.7000,0.0000,NaN,NaN,2.4755,NaN,0.0036,0.0000,0.0000
24,9819.0000,8.9458,6.4500,-120.5699,NaN,NaN,4.2488,0.6153,0.0455,0.0000,0.0000
25,9585.0000,7.8872,7.5000,0.0000,NaN,NaN,30.4080,0.6484,0.0417,0.0000,0.0000
26,9514.0000,8.7323,7.3000,-192.7442,NaN,NaN,20.1448,0.4393,0.3000,0.0000,0.0000
27,9291.0000,7.2428,6.6000,-141.5457,NaN,NaN,51.9560,0.5291,0.0508,0.0000,0.0000
28,9143.0000,8.7240,7.3000,-37.1231,NaN,NaN,49.2926,0.6267,0.1429,0.0000,0.1429
29,9066.0000,8.2517,5.9500,-22.8284,NaN,NaN,27.4781,0.6435,0.1364,0.0000,0.0909
30,8640.0000,6.7735,8.1000,0.0000,NaN,NaN,34.1453,0.6428,0.0610,0.0000,0.0244
31,8374.0000,6.9529,8.6500,-116.8031,NaN,NaN,50.0702,0.5749,0.0421,0.0000,0.0105
32,8123.0000,6.1159,7.6000,-178.9580,NaN,NaN,4.2844,0.6178,0.0242,0.0000,0.0081
33,7890.0000,3.4073,8.0500,-122.8345,NaN,NaN,52.9564,0.5781,0.0029,0.0000,0.0000
34,7720.0000,6.9183,7.6000,-113.2318,NaN,NaN,30.7738,0.4890,0.0704,0.0000,0.0141
35,7602.0000,-0.4068,7.2500,-115.5284,NaN,NaN,13.3173,0.6201,0.0113,0.0000,0.0000
36,7388.0000,7.8734,6.9000,-77.9215,NaN,NaN,33.7207,0.5990,0.0789,0.0000,0.0263
37,7058.0000,7.8293,9.1000,-13.8454,NaN,NaN,8.9183,0.6301,0.1111,0.0000,0.1111
38,6924.0000,7.8638,7.6000,-163.4945,NaN,NaN,24.0700,0.4974,0.0667,0.0000,0.0333
39,6552.0000,8.1457,8.4000,-105.6823,NaN,NaN,4.5030,0.5936,0.0952,0.0000,0.0476
40,6233.0000,7.3245,6.4000,-23.9758,NaN,NaN,3.1629,0.6666,0.1053,0.0000,0.0526
41,6230.0000,5.5069,6.5000,-25.5944,NaN,NaN,18.4876,0.6388,0.2000,0.0000,0.2000
42,6212.0000,6.1179,6.5000,-13.8175,NaN,NaN,39.1426,0.6347,0.0962,0.0000,0.0385
43,5917.0000,4.4804,7.9000,-79.4664,NaN,NaN,17.6761,0.6268,0.0521,0.0000,0.0104
44,5883.0000,-2.1802,7.0000,-215.3647,NaN,NaN,44.8593,0.5178,0.0210,0.0000,0.0000
45,5827.0000,0.9827,7.3500,-718.7316,NaN,NaN,26.9284,0.2449,0.0000,0.0000,0.0000
46,5651.0000,8.0911,6.9000,0.0000,NaN,NaN,5.8519,NaN,0.0263,0.0000,0.0000
47,5446.0000,6.0247,6.7000,-43.0253,NaN,NaN,3.6980,0.6684,0.0100,0.0000,0.0000
48,5375.0000,2.2646,6.4000,-210.7685,NaN,NaN,43.0704,0.4998,0.0452,0.0000,0.0065
49,5257.0000,4.3261,6.5500,-72.0776,NaN,NaN,5.6856,0.6508,0.0442,0.0000,0.0000
50,5256.0000,5.7326,6.2000,-110.1705,NaN,NaN,39.1971,0.5727,0.1020,0.0000,0.0408
51,5184.0000,7.7172,7.8500,-102.7280,NaN,NaN,18.2426,0.4160,0.1364,0.0000,0.0000
52,5112.0000,7.7567,8.3500,-11.4142,NaN,NaN,63.4436,0.6218,0.2222,0.0000,0.0000
53,5098.0000,7.4785,6.9500,0.0000,NaN,NaN,58.4614,NaN,0.1000,0.0000,0.0000
54,5088.0000,6.3859,7.0000,-180.2816,NaN,NaN,18.5906,0.4582,0.0000,0.0000,0.0000
55,5045.0000,7.4303,7.7000,0.0000,NaN,NaN,49.6330,NaN,0.0238,0.0000,0.0238
56,4988.0000,-29.6595,7.6500,0.0000,NaN,NaN,25.4297,NaN,0.0103,0.0000,0.0000
57,4960.0000,6.9852,6.4000,0.0000,NaN,NaN,39.7186,NaN,0.0556,0.0000,0.0278
58,4945.0000,4.8918,7.5500,-53.4869,NaN,NaN,35.0790,0.6228,0.0877,0.0000,0.0351
59,4915.0000,-0.3924,8.3000,-404.6072,NaN,NaN,12.0528,0.3944,0.0253,0.0000,0.0000
60,4824.0000,6.3546,7.3000,-353.8711,NaN,NaN,20.2429,0.2825,0.0690,0.0000,0.0000
61,4662.0000,5.8178,7.6000,0.0000,NaN,NaN,24.6971,0.6563,0.1818,0.0000,0.0909
62,4649.0000,5.0156,7.1500,-128.6796,NaN,NaN,2.1859,0.6106,0.0423,0.0000,0.0423
63,4563.0000,2.6484,7.1000,-313.4890,NaN,NaN,15.8838,0.4620,0.0972,0.0000,0.0417
64,4549.0000,7.7878,7.2500,-46.1512,NaN,NaN,42.9811,0.5674,0.0256,0.0000,0.0000
65,4444.0000,7.7702,6.8500,0.0000,NaN,NaN,24.6720,NaN,0.0714,0.0000,0.0000
66,4441.0000,2.5322,6.8000,-49.2875,NaN,NaN,6.1435,0.6580,0.0000,0.0000,0.0000
