iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
0	1558041947592	0	0	0.001	0.0	0	0	0.989075588696145
100	1558043103244	8880	43	0.0012609265782835299	0.0010979385485290912	8358	521	0.9888267416404591
200	1558044211897	8285	45	0.0014164157044906486	0.0015574009216342587	8132	153	0.9886590618644915
300	1558045307382	8727	46	0.0016072321557558313	0.00190521242746493	8255	469	0.9884682787513752
400	1558046416533	8496	47	0.0018226743863002434	0.0021303494061401715	8301	195	0.9882448131396757
500	1558047531119	8638	56	0.0020639870203473837	0.00224714368867606	8472	165	0.9880060675430895
600	1558048663328	13070	62	0.002322813295253759	0.002327249917957307	12907	163	0.9877688888394991
700	1558049792621	9016	55	0.0025358440663651415	0.002353566384581266	8639	376	0.9875368775489793
800	1558050924454	8974	55	0.0027020014002022514	0.0023142174773435947	8548	425	0.9873823218909398
900	1558052060222	8759	69	0.002810739329014191	0.002270248691493743	8590	168	0.9872742840632536
1000	1558053188551	9163	58	0.002888872837187594	0.0022225234417711515	8740	422	0.9871990176358807
1100	1558054312904	9153	52	0.0029544823141120385	0.0021880374619557877	8674	478	0.9871478769155545
1200	1558055448303	9031	58	0.0030084678898063054	0.0021620297758572896	8488	543	0.9870770333492616
1300	1558056574284	9019	58	0.0030603865002722616	0.002148486603473976	8571	448	0.9870206585395668
1400	1558057699955	8863	56	0.003116383477613433	0.002144620749343994	8446	417	0.9869780412726282
1500	1558058825437	8600	57	0.0031809705846400035	0.002149117457209446	8424	175	0.9869138319979552
1600	1558059953317	8641	56	0.0032421683132007957	0.002161239653809714	8443	197	0.9868436663073555
1700	1558061085652	13335	57	0.003299232111304966	0.0021804701439597737	13161	174	0.9867923922344338
1800	1558062230527	8822	58	0.003357873915121073	0.0022002306341744673	8610	211	0.9867410181470657
1900	1558063357178	8852	58	0.0034302621489770745	0.0022163991727316068	8563	288	0.9866534832809184
2000	1558064483698	9017	50	0.0035133852667607545	0.002233761613873368	8540	477	0.9865882071854823
2100	1558065614839	8879	59	0.0035941969395579362	0.002254080518790307	8661	217	0.9864997166257349
2200	1558066749973	8937	67	0.0036569393356818206	0.0022768951557189214	8532	405	0.9864347961372198
2300	1558067876024	8790	59	0.003700445619922878	0.0022918508892501082	8512	277	0.9864031804593997
2400	1558069001784	8762	101	0.003741696022758843	0.0022993766218751977	8556	205	0.9863582184093258
2500	1558070139198	9001	66	0.003780301599119873	0.0023023972319996624	8542	459	0.9863228577461188
2600	1558071267226	8777	88	0.003817840354717904	0.002303727476064326	8557	219	0.9862785735717381
2700	1558072401938	8686	64	0.0038554457866136218	0.002304876134740992	8502	183	0.986259959771967
