iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
0	1558363151865	0	0	0.001	0.0	0	0	0.9890626534943936
100	1558364294319	8084	51	0.0017378732483580963	0.0012262245397834807	7926	158	0.9883465500572305
200	1558365417410	8997	85	0.0022258881838487783	0.0018694747401798465	8422	561	0.9878670585751275
300	1558366580477	8869	55	0.002475035282874193	0.00244883054254031	8671	196	0.9876226788313868
400	1558367754698	13959	64	0.0027611655016835765	0.0026627478857009614	13783	176	0.9873202907086579
500	1558368920569	8850	114	0.003028437440963695	0.0026001589756291434	8436	413	0.9870719103870559
600	1558370086152	9364	60	0.003234433862669052	0.002510443842737054	8680	684	0.9868491671019147
700	1558371250990	9354	69	0.0033864335959638615	0.0024493110304037845	8786	566	0.9867141142609488
800	1558372411397	8944	60	0.0035138186626957227	0.0024097399280170644	8397	546	0.9865836287463745
900	1558373578065	9168	67	0.0036348472557147142	0.002382354071018789	8608	559	0.9864568548790381
1000	1558374742520	8775	60	0.0037425961527776234	0.0023622407758830213	8572	203	0.9863698645359885
1100	1558375912545	9414	67	0.0038268305421894273	0.0023499785792656805	8885	528	0.9862729727627324
1200	1558377084600	9145	70	0.0039030304377298945	0.0023449676030448297	8584	561	0.9861925944858702
1300	1558378258332	9367	62	0.00397169591163168	0.0023500156524409333	8791	576	0.9861276517719226
1400	1558379436046	9533	60	0.004036738640025781	0.0023585471168959898	8874	659	0.9860760554302288
1500	1558380616283	13598	61	0.004096625068065387	0.0023708744354724925	13398	199	0.9860213586406925
1600	1558381805500	9078	63	0.0041610343716314575	0.0023860518763477896	8570	508	0.9859454254503428
1700	1558382990313	9374	65	0.0042249324902485915	0.002400724926917674	8966	407	0.985894462533477
1800	1558384184517	9328	63	0.004283829886539167	0.002413453343104066	8861	466	0.9858293975796504
1900	1558385376603	9574	66	0.004335059508595686	0.002425814198270024	8928	645	0.9857743562959094
2000	1558386564606	9471	68	0.004387400402280329	0.0024371478581887633	8913	557	0.985722104303955
2100	1558387752424	9286	64	0.004436952004178382	0.0024474529813967054	8702	583	0.9856812761843378
2200	1558388950350	9295	64	0.004480869458921844	0.0024557778604607145	8868	426	0.9856386478046829
2300	1558390151144	9626	63	0.004513129674286286	0.0024638161541239213	9097	526	0.9856179003633858
2400	1558391350978	9482	72	0.004552346450042784	0.0024723679844351203	8936	546	0.9855712714058698
2500	1558392539570	9506	5060	0.004583851000700101	0.002479282375522241	8892	613	0.9855203529398691
2600	1558393717502	14122	68	0.004610421505328547	0.0024857218885026696	13924	197	0.9854983275361997
2700	1558394894437	9117	65	0.004632269105537466	0.002492405182000632	8687	426	0.9854985831286741
2800	1558396078709	9337	67	0.004654372298220854	0.002496591889828279	8680	657	0.9854657783902119
2900	1558397255932	9314	67	0.004666585173413938	0.0025002223780759	8740	574	0.9854613777545645
3000	1558398434979	8888	68	0.004677431184504428	0.0025025670125081723	8673	215	0.9854326180448287
3100	1558399620447	9262	67	0.004685032282440797	0.0025044209151732825	8626	632	0.9854294953715537
3200	1558400799487	9376	68	0.0046960338715592255	0.0025062844519859085	8708	668	0.9854145376554391
3300	1558401984568	8936	66	0.0046991343194016915	0.0025075529887259745	8737	198	0.9854197828575239
3400	1558403166061	8976	68	0.004708902397012902	0.0025083703058988178	8778	197	0.9854047140142465
3500	1558404352764	8973	72	0.004709713625301432	0.002509729574357265	8650	319	0.9854267060797671
3600	1558405534393	9946	69	0.004716225677042239	0.0025102981110119646	9197	749	0.9853967684221054
3700	1558406715194	13540	77	0.004721748697034016	0.0025108362818093027	13312	228	0.9854031471212509
3800	1558407896555	9386	74	0.0047294831475657596	0.0025115438428712	8693	693	0.9853911009368019
3900	1558409078522	9421	71	0.004739228999744408	0.0025118834770589604	8872	548	0.9853883783213131
4000	1558410260209	9335	76	0.00475098625356996	0.002512819818636563	8778	557	0.9853706868769934
4100	1558411443513	8895	73	0.004761265516130108	0.0025139067699886304	8688	206	0.985350917354729
4200	1558412626281	9315	72	0.004770033449276007	0.0025136726236186127	8707	607	0.9853439830197696
4300	1558413814020	9372	75	0.0047805460788780604	0.002513694574840802	8806	565	0.9853483836554169
4400	1558414991878	9457	74	0.004794536988676142	0.0025144576237143444	8986	470	0.9853105226310467
4500	1558416172597	8864	75	0.004815795614922155	0.0025150815262294547	8664	200	0.9853036771978174
4600	1558417354780	9024	77	0.004832542478357985	0.002516233599540683	8827	197	0.9852783846555614
4700	1558418541771	9511	75	0.004853478835831843	0.0025180412826879615	8978	532	0.9852654939046751
4800	1558419736030	13667	74	0.0048712147310167025	0.0025202188439291274	13470	197	0.9852425350328381
4900	1558420924208	9005	75	0.004890195250425062	0.002524262868812545	8802	203	0.9852460799893318
5000	1558422113778	9443	146	0.004906775423116672	0.002528364088824889	8944	498	0.9852322779957104
5100	1558423300681	9499	75	0.0049316345694378075	0.0025332525040551836	8843	655	0.9851877493415716
5200	1558424495381	9538	77	0.004958427328391878	0.0025377786021681223	8927	610	0.9851756698189739
5300	1558425682528	9062	78	0.004983464278173514	0.002543296041865371	8832	230	0.9851337637658772
5400	1558426869820	9194	76	0.005006800982364119	0.0025490034815857905	8956	237	0.9851366641848267
5500	1558428058987	9560	79	0.005017624768022048	0.0025554975067679886	8927	633	0.9851042595041506
5600	1558429252401	9303	104	0.005026570504628446	0.0025605142146968556	8722	580	0.9851023036660851
5700	1558430449605	8978	77	0.0050372498249747185	0.0025631139711114596	8773	205	0.9850884016580173
5800	1558431645423	9391	78	0.005048429217553646	0.0025649858006080244	8972	418	0.9850742218320424
5900	1558432844891	13934	78	0.0050615644481980734	0.002565967751947287	13665	267	0.9850615199973329
6000	1558434035676	9271	84	0.00506951004033916	0.0025668987276705763	8743	528	0.9850483958794048
6100	1558435232774	9040	148	0.005087768233189238	0.002567802386317364	8796	244	0.985059230777779
6200	1558436430743	9788	81	0.005105048507006568	0.002568938118163185	9184	604	0.9850218476002089
6300	1558437625369	9287	82	0.005120984142153867	0.0025708894598645685	8760	526	0.9850009334681676
6400	1558438822207	9527	110	0.005138720037338727	0.002573894826084735	8924	603	0.9849873981797371
6500	1558440019504	9867	80	0.005156378143509618	0.0025766958020360733	9261	605	0.9849734183826553
6600	1558441212376	9492	81	0.0051794259170769115	0.0025810023879271208	8883	609	0.9849508706813206
6700	1558442413902	9383	121	0.00519858423994577	0.002585727022649637	8778	602	0.9849300676764422
6800	1558443620966	9409	80	0.005220687432629157	0.002590759340336505	8965	444	0.9848827719559492
6900	1558444834390	9546	77	0.005241612677386734	0.002595695804353147	9013	533	0.9849067198595353
7000	1558446045883	14327	77	0.005267494193605743	0.00260094409767611	13805	522	0.9848744929823197
7100	1558447247189	9810	83	0.005292075522019848	0.002606257391006999	9290	519	0.9848361763365819
7200	1558448453849	9879	82	0.005323257803905008	0.002610803611073611	9235	644	0.9847992265549468
7300	1558449659835	9813	88	0.005347783568737706	0.002615608733610821	9110	702	0.9847828686365808
7400	1558450862321	9337	82	0.005373365041617123	0.0026208356854677665	8903	434	0.984763276917777
7500	1558452071493	9640	83	0.00539619056085879	0.0026259376373094683	9207	432	0.9847255714714348
7600	1558453295456	9710	82	0.005415860068676587	0.0026323975161460385	9089	620	0.9847051796370587
7700	1558454508480	9510	81	0.00544311956171447	0.0026381362973336947	9292	218	0.9846935890739773
7800	1558455719049	9461	80	0.005464033693755765	0.0026442610541781773	8972	489	0.9846648960405392
7900	1558456931936	9470	81	0.005484281062820185	0.002650040445126884	8926	540	0.9846582061853378
8000	1558458144061	9895	80	0.005505184082145198	0.00265420654319592	9306	589	0.9846309578050163
8100	1558459365582	13788	81	0.005534043806327581	0.0026568054459518834	13572	215	0.9845935524020136
