iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
0	1600612501339	0	0	0.001	0.0	0	0	0.9890605531910165
100	1600613408696	8091	99	0.0013083000877904586	0.0011325262356739311	7960	115	0.9887616433484837
200	1600614337179	8420	101	0.0015517130252147532	0.0015009565245068933	8302	117	0.988525920410726
300	1600615318101	8734	112	0.0017995710491515442	0.0020594058609031537	8613	121	0.9882826741640459
400	1600616339921	9100	123	0.002009234667229711	0.002341766748995945	8975	125	0.9880803227132808
500	1600617382820	9291	130	0.00223092224432418	0.0024311928574625432	9166	125	0.987845822174314
600	1600618426107	9325	141	0.002417082467467523	0.002462683836912663	9193	131	0.9877015457788347
700	1600619475491	9380	143	0.002552201984731128	0.0024162772458874693	9244	135	0.9875420227366175
800	1600620522454	9319	142	0.0026701856934890594	0.0023157262580153974	9183	135	0.987412715169969
900	1600621564427	9341	150	0.002776656628179626	0.002222011124635503	9197	144	0.9873202240323602
1000	1600622604869	9366	150	0.002877437852134197	0.0021646827030100857	9233	132	0.9871948725927079
1100	1600623649354	9397	151	0.002978719148321424	0.0021488609937635357	9256	140	0.9871056485936858
1200	1600624696964	9441	158	0.0030764443752986544	0.002155736482406888	9299	141	0.9870282262993544
1300	1600625749097	10181	157	0.003174036249680509	0.0021742535578358	10034	146	0.9869216108993522
1400	1600626809289	9594	157	0.003266149554935713	0.002192698194231487	9450	143	0.9868275528687477
1500	1600627873006	9610	161	0.003361152166424039	0.002208664537642017	9461	148	0.9867283051996399
1600	1600628944436	9604	163	0.0034564103703868337	0.002224526002990976	9457	146	0.986634147154589
1700	1600630019117	9598	172	0.0035431784591107604	0.002241257468446033	9450	148	0.9865602142531699
1800	1600631101429	9916	168	0.0035964750463955905	0.002259575763362898	9765	151	0.9864818029270894
1900	1600632189577	9764	168	0.0036465933968239856	0.0022713645452883593	9610	154	0.9864620111793926
2000	1600633283744	9749	171	0.0037013012990765332	0.0022780403997610245	9597	151	0.9863879226999456
2100	1600634379193	9873	170	0.0037539644615333326	0.0022847940591212267	9719	153	0.9863358040605865
2200	1600635476523	9821	172	0.003805305210752664	0.002295267353081384	9666	155	0.9862877082245213
2300	1600636579103	9826	174	0.0038528898618689364	0.0023078478424204685	9671	154	0.9862430239923544
2400	1600637683791	9969	180	0.0038936068543234024	0.00232215699050695	9813	155	0.9862213764210386
2500	1600638792955	10020	180	0.003922688832831409	0.0023337672358252726	9863	156	0.9861782701945837
2600	1600639900621	10038	183	0.0039498927622878864	0.002340461870788033	9879	158	0.9861751141831598
2700	1600641012433	10105	185	0.00397617433629302	0.0023449316274306866	9945	160	0.986132207985598
2800	1600642127773	9977	181	0.004003300476735528	0.0023476219936124382	9819	157	0.9861177281162835
2900	1600643241985	9998	180	0.00403483836554169	0.0023516226038564152	9841	156	0.9860776000977919
3000	1600644360600	10759	188	0.004068276528831943	0.002355646140932456	10584	175	0.9860415948970407
3100	1600645481968	10087	189	0.004103303810550413	0.002362214678318863	9912	174	0.9860246591174281
3200	1600646607466	10077	188	0.004144043028437441	0.0023711971184386727	9902	174	0.9859605943080667
